日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2015-03-31,0.0701,0.0766,0.0766,,3.5935,3.4555,-0.0251,2.3969,0.0382,,1.647,43.1658,2.7514,36.0457,22.5463,54.4912,24.387,7.0087,1.9504,1.647,45.5088,21.611,23.7566,152.658,0.108,383.7591,99635040.92,2.03,2.72,55113927.32,225.1862,1072.2015,407.7734,444.8027,1.1292,79.7024,118.1878,0.7615,,0.1128,797.8723,0.2603,345.7549,0.1325,3.0136,2.3837,97.545,10088.3055,0.0024,84.446,0.0719,,18.4189,65.0419,0.0851,,65.0973,17.7791,653.9821,,15.554,3417706569.6,-0.0872,-0.0059,-0.3577,-0.0379,-3.9433,,,,444958.71,,,,,,,,,,,,,,
2015-06-30,0.096,0.09,0.09,0.09,3.4738,3.4738,-0.1244,2.3968,0.055,,2.3517,41.5357,3.9013,22.6809,16.2149,56.102,15.463,42.8239,12.3277,10.4908,43.898,26.8307,29.1705,214.7027,0.0788,175.9997,207096793.68,2.51,2.93,65548493.13,245.038,793.0251,387.5689,418.643,1.9883,90.5296,110.776,1.6249,1.3645,0.2523,713.4364,0.6234,288.7392,0.2943,2.9168,2.1996,54.4677,4108.5185,0.0025,85.0994,0.0672,658.3574,17.5097,68.533,0.0789,61.362,68.5871,16.8519,684.47,12.926,14.9006,3278468391.5,-0.2004,-0.0305,-1.2958,-0.2045,-21.3491,,,,3430579.61,,,,83858574.88,32925538.57,14359631.26,,4181935.98,2347211.03,,,1215863.0,704898.0,28539342.72
2015-09-30,0.0426,0.04,0.04,,1.1692,1.1692,-0.0377,0.1323,0.0291,,3.0571,44.0516,5.0925,19.5162,14.5223,53.5707,13.4595,4.2629,3.646,3.0571,46.4293,30.0407,23.6287,262.4966,0.0592,78.4589,336161490.49,3.4,3.68,92701386.0,235.323,950.8362,391.3249,423.0609,2.847,94.8367,122.549,2.2032,,0.3784,713.5307,0.8996,300.1334,0.4469,2.8066,2.1108,54.5971,3521.4412,0.0021,83.8468,0.058,,19.2651,67.3256,0.0691,,67.3722,18.5587,631.3019,,16.1532,3359761661.8,-0.119,-0.027,-0.884,-0.1673,-17.4323,,,,4628181.33,,,,,,,,,,,,,,
2015-12-31,0.0788,0.078,0.078,0.072,1.2069,1.2069,-0.0301,0.1323,0.0664,,5.2909,45.3032,8.9088,21.4354,15.1142,52.5172,14.6639,19.7703,16.3804,13.2712,,29.3542,22.8881,251.4517,0.032,87.2943,586711008.87,6.38,7.598,166484087.02,321.5999,2345.2654,386.0129,432.523,3.4586,104.0884,84.0572,4.2828,3.5235,0.6075,592.5926,1.3721,262.3715,0.7387,2.6175,2.1283,73.4037,3973.7771,0.0017,81.0191,0.0472,679.3398,23.4277,66.5448,0.0582,59.9108,66.5835,21.7755,557.6449,11.9261,18.9809,3589354694.52,-0.056,-0.0202,-0.3816,-0.1064,-11.4737,,,,4782540.57,,,,67327513.86,41578375.48,26229817.54,,2223814.72,3063563.09,,,1840535.0,763251.0,28840942.72
2016-03-31,0.0042,0.0029,0.0029,,2.049,2.0297,0.0093,0.9546,0.0629,,0.1694,45.2533,0.2218,7.4744,-2.6172,52.1022,5.4137,0.4175,0.2038,0.1694,47.8978,48.3388,135.8804,587.3256,0.5278,1.6553,96238709.3,0.21,0.24,7532043.21,-7.8646,-79.5468,95.7823,98.803,0.2243,401.2483,337.5844,0.2666,,0.041,2195.122,0.0896,1004.4643,0.0497,2.84,2.3604,101.21,-7123.2108,0.0007,83.1628,0.0212,,20.246,65.4966,0.0255,,65.5133,19.2975,612.0937,,16.8372,6794503073.09,0.121,0.0038,2.2347,0.0225,2.3626,,,,8723963.02,,,,,,,,,,,,,,
2016-06-30,0.0152,0.01,0.01,0.01,2.0596,2.0415,-0.0189,0.9546,0.0739,,0.6082,47.012,0.8001,9.932,5.2722,51.1856,6.8142,13.8967,6.7473,5.5547,48.8144,38.8422,42.0715,515.4533,0.1448,-0.365,289504233.12,0.74,1.25,39211343.5,23.5076,-45.5734,103.5804,110.4409,0.6223,289.2496,251.3966,0.716,1.4329,0.1174,1533.2198,0.2533,710.6198,0.1434,2.758,2.2669,88.8674,-6355.4377,0.0006,82.3251,0.0172,1316.3392,21.4696,64.9421,0.0209,55.8373,64.9557,20.512,581.1812,6.2541,17.6749,6899236936.48,-0.0846,-0.0076,-1.242,-0.0427,-4.4779,,,,4880856.39,,,,276348944.61,87766947.8,119276605.99,,5059627.66,1820645.38,,,4443923.8,1015920.81,29773165.75
2016-09-30,0.0795,0.0367,0.0367,,2.1246,2.1056,-0.0361,0.9546,0.1373,,3.0588,49.4018,4.0762,32.6504,24.5555,49.1656,21.762,7.9492,3.7415,3.0588,50.8344,36.671,65.7547,173.3778,0.0277,1014.4833,497638544.6,3.74,2.99,98125743.87,32.0033,113.4293,107.983,113.3064,0.9758,276.696,250.58,1.0775,,0.1873,1441.5376,0.3707,728.3518,0.2298,3.0239,2.5359,106.6832,-29378.1757,0.0004,81.7543,0.013,,22.3177,57.7542,0.0159,,57.7634,21.364,562.4884,,18.2457,7166587795.57,-0.0987,-0.0139,-0.4538,-0.0761,-7.9527,,,,4858678.26,,,,,,,,,,,,,,
2016-12-31,0.1889,0.192,0.192,0.149,2.1973,2.1762,-0.02,1.0081,0.2381,,6.4758,51.1748,9.006,44.8096,30.05,47.2284,28.2804,21.7373,9.8926,7.4532,52.7716,27.6482,36.9979,149.3395,0.0115,1168.6869,960042350.77,8.54,9.373,406490949.96,44.8569,179.366,112.2543,128.2487,1.5574,231.1545,181.278,1.9859,6.1418,0.3185,1130.2983,0.6183,582.2416,0.4132,2.2452,1.9486,57.0294,49050.0516,0.0003,75.3417,0.0083,3376.0639,32.7286,61.1887,0.011,69.5418,61.1954,31.871,407.8914,2.2316,24.6583,8192656625.83,-0.0299,-0.0069,-0.1058,-0.0278,-2.8541,,,,4827529.92,,,,491299053.83,106818281.06,88926911.93,,11511421.52,2545581.86,,,9396646.95,1427440.0,29056434.92
2017-03-31,0.0034,0.0027,0.0027,,2.2051,2.1839,-0.0659,1.0117,0.2414,,0.1199,36.9423,0.1183,5.6362,-2.7817,60.7832,4.727,0.3407,0.1545,0.1199,39.2168,50.2996,216.9219,578.2165,0.635,99.5311,74795331.59,0.15,0.12,7551884.9,-4.7968,-16.873,9.6262,17.4818,0.1269,709.2199,446.2072,0.2017,,0.025,3600.0,0.047,1914.8936,0.0327,2.433,2.0635,52.9189,1083.6193,0.0002,77.602,0.0053,,28.8626,61.1759,0.0068,,61.1801,27.825,453.5984,,22.398,7982302459.29,-0.9137,-0.0232,-19.3296,-0.1035,-10.7357,,,,4820242.98,,,,,,,,,,,,,,
2017-06-30,0.0223,0.0198,0.0198,0.0141,2.2186,2.1955,-0.085,1.014,0.2479,,0.7476,44.9142,0.7567,13.6939,10.7234,53.7268,11.0399,5.4435,2.4536,1.8216,46.2732,43.9174,42.5127,331.2903,0.105,183.1591,255311855.71,0.9,0.65,39698808.91,-7.6916,49.5526,9.724,21.6724,0.3466,519.3306,366.3749,0.4913,3.1192,0.0685,2627.7372,0.1247,1443.4643,0.0917,2.2252,1.9128,56.2861,1175.3824,0.0001,74.2407,0.002,3430.7998,34.6971,59.2827,0.0027,66.8305,59.2843,33.8926,389.8346,2.1639,25.7593,8394470247.05,-0.42,-0.0284,-3.8045,-0.1104,-11.3043,,,,4209923.76,,,1203669641.19,326671152.82,175381747.11,101684679.15,,5657410.19,3325047.47,,47946910.64,6066654.66,1407348.0,29135375.92
