SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,SECURITY_TYPE_CODE,EPSJB,BPS,PER_CAPITAL_RESERVE,PER_UNASSIGN_PROFIT,PER_NETCASH,TOTALOPERATEREVE,GROSS_PROFIT,PARENTNETPROFIT,DEDU_PARENT_PROFIT,TOTALOPERATEREVETZ,PARENTNETPROFITTZ,DPNP_YOY_RATIO,YYZSRGDHBZC,NETPROFITRPHBZC,KFJLRGDHBZC,ROE_DILUTED,JROA,GROSS_PROFIT_RATIO,NET_PROFIT_RATIO,SEASON_LABEL
000001.SZ,000001,平安银行,10004085,2026-03-31 00:00:00,058001001,0.67,23.914407915078,4.153251571679,14.619911367618,1.947954240956,35277000000,,14523000000,14488000000.0,4.6515767303,3.0292281498,3.1688385673,14.6324819653,238.21611551,232.6750861079,2.6519560984,0.2428648317,,41.168466706353,一季度
000001.SZ,000001,平安银行,10004085,2025-12-31 00:00:00,058001001,0.2,23.25,4.155518911677,13.953828712769,12.577295681748,30774000000,,4294000000,4355000000.0,-12.3572466038,-10.1485666457,-14.4400785855,-1.6270818016,-68.119385255,-67.3513756653,0.8032819699,0.0734485344,,13.953337232729,四季度
000001.SZ,000001,平安银行,10004085,2025-09-30 00:00:00,058001001,0.69,23.084458414923,4.155261259404,13.812583736989,-5.302432237452,31283000000,,13469000000,13339000000.0,-9.1930333817,-2.7509025271,-3.8145370637,-12.3136001794,25.0139224058,22.5222742721,2.6204484082,0.2313918255,,43.055333567752,三季度
000001.SZ,000001,平安银行,10004085,2025-06-30 00:00:00,058001001,0.56,22.679016798928,4.158610738947,13.357054519221,0.604761413996,35676000000,,10774000000,10887000000.0,-7.0017204525,-1.5803416461,-0.7927829415,5.8352368804,-23.566969353,-22.4738303781,2.1205029847,0.1849166283,,30.199573943267,二季度
000001.SZ,000001,平安银行,10004085,2025-03-31 00:00:00,058001001,0.62,22.475471503659,4.158971452128,13.172266309389,8.39668143873,33709000000,,14096000000,14043000000.0,-13.0539076606,-5.5987141709,-5.7896149202,-3.998519067,194.9571039967,175.8939096267,2.8165130466,0.2441472893,,41.816725503575,一季度
000001.SZ,000001,平安银行,10004085,2024-12-31 00:00:00,058001001,0.21,21.89,4.159177573946,12.553076368134,-3.804081211996,35113000000,,4779000000,5090000000.0,-5.26642385,-29.926686217,-25.8341833018,1.9245283019,-65.4945848375,-63.2967983848,0.9700490505,0.0830029167,,13.61034374733,四季度
000001.SZ,000001,平安银行,10004085,2024-09-30 00:00:00,058001001,0.71,21.669844378027,4.159280634855,12.362104503762,1.207667731629,34450000000,,13850000000,13868000000.0,-11.7209922099,-2.7933745087,-3.3723522854,-10.1975913665,26.5186809171,26.3714233643,2.8488036053,0.2408691254,,40.203193033382,三季度
000001.SZ,000001,平安银行,10004085,2024-06-30 00:00:00,058001001,0.57,21.226682469339,4.161651035762,11.902813562816,6.96197052458,38362000000,,10947000000,10974000000.0,-11.8358154072,1.5020862309,2.112217363,-1.0523600722,-26.6876506831,-26.378639474,2.2630743867,0.1906573044,,28.536051300766,二季度
000001.SZ,000001,平安银行,10004085,2024-03-31 00:00:00,058001001,0.66,21.417705864166,4.161651035762,12.059517674946,-1.101824178089,38770000000,,14932000000,14906000000.0,-14.0316643754,2.2599643884,3.0202501901,4.6000269796,118.9442815249,117.1936470931,3.1176401811,0.2638975218,,38.514315192159,一季度
000001.SZ,000001,平安银行,10004085,2023-12-31 00:00:00,058001001,0.31,20.74,4.161651035762,11.40137071009,-1.209368236628,37065000000,,6820000000,6863000000.0,-10.9656497718,-22.9987580445,-22.0998864926,-5.0199876999,-52.1336327906,-52.1808807135,1.4538663893,0.122844104,,18.400107918522,四季度
