SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,SECURITY_TYPE_CODE,EPSJB,BPS,PER_CAPITAL_RESERVE,PER_UNASSIGN_PROFIT,PER_NETCASH,TOTALOPERATEREVE,GROSS_PROFIT,PARENTNETPROFIT,DEDU_PARENT_PROFIT,TOTALOPERATEREVETZ,PARENTNETPROFITTZ,DPNP_YOY_RATIO,YYZSRGDHBZC,NETPROFITRPHBZC,KFJLRGDHBZC,ROE_DILUTED,JROA,GROSS_PROFIT_RATIO,NET_PROFIT_RATIO,SEASON_LABEL
600000.SH,600000,浦发银行,10002252,2026-03-31 00:00:00,058001001,0.52,22.634119978382,4.036810184351,8.051372125143,2.753978262175,46573000000.0,,17861000000.0,17903000000.0,1.4176211837,1.49448801,1.8315226665,11.7287208521,59.5016967316,59.2226965493,2.1640712795,0.1782474188,,39.014020999291,一季度
600000.SH,600000,浦发银行,10002252,2025-12-31 00:00:00,058001001,0.24,22.13,4.037140455173,7.53506875638,6.315979102864,41684000000.0,,11198000000.0,11244000000.0,1.8944486543,11.6005581025,9.7403864923,-0.0886843556,23.2988328562,26.1103633917,1.3579859896,0.1124864574,,26.950388638327,四季度
600000.SH,600000,浦发银行,10002252,2025-09-30 00:00:00,058001001,0.3,22.357072237283,3.478711529262,7.749194705789,4.599553500239,41721000000.0,,9082000000.0,8916000000.0,0.3125676228,10.2853673345,24.6121593291,-6.5326970899,-25.1832935168,-28.1141659276,1.1176828203,0.0949636363,,22.235804510918,三季度
600000.SH,600000,浦发银行,10002252,2025-06-30 00:00:00,058001001,0.42,22.495704467354,3.121530531324,7.732619614063,7.377048638647,44637000000.0,,12139000000.0,12403000000.0,4.0004659832,26.8840806941,29.3056713928,-2.7982230739,-31.0205705194,-29.4522495876,1.5764730328,0.1262418763,,27.147881802092,二季度
600000.SH,600000,浦发银行,10002252,2025-03-31 00:00:00,058001001,0.57,22.637775960752,2.790985282093,8.421504497138,-6.882052330335,45922000000.0,,17598000000.0,17581000000.0,1.310448288,1.0160151541,2.1319855931,12.2540272312,75.3836954355,71.5889127464,2.3725070678,0.1869764822,,38.709115456644,一季度
600000.SH,600000,浦发银行,10002252,2024-12-31 00:00:00,058001001,0.23,22.36,2.790985282093,7.84958435541,-5.868629054238,40909000000.0,,10034000000.0,10246000000.0,0.713951599,15.1216154199,18.0006910054,-1.6397778366,21.8457802064,43.2005590496,1.3754287077,0.1075090255,,24.806277347283,四季度
600000.SH,600000,浦发银行,10002252,2024-09-30 00:00:00,058001001,0.23,21.804510765876,2.790985282093,7.619412646498,7.537612428455,41591000000.0,,8235000000.0,7155000000.0,0.0144282794,69.8638613861,48.5981308411,-3.0964585275,-13.9228598307,-25.406588824,1.1217611446,0.0895860717,,20.107715611551,三季度
600000.SH,600000,浦发银行,10002252,2024-06-30 00:00:00,058001001,0.32,21.559995911693,2.79132597438,7.397417552467,2.384437176342,42920000000.0,,9567000000.0,9592000000.0,-0.5353294246,30.9292459286,33.2222222222,-5.3123896929,-45.0835198898,-44.2779133264,1.2854352939,0.105575683,,22.516309412861,二季度
600000.SH,600000,浦发银行,10002252,2024-03-31 00:00:00,058001001,0.57,21.474243663123,2.785568274734,7.664963205233,-15.420754974107,45328000000.0,,17421000000.0,17214000000.0,-5.7218328168,10.0435853705,30.5673543689,11.5930968266,99.873795319,98.249452954,2.3738342717,0.1955625788,,38.960465937169,一季度
600000.SH,600000,浦发银行,10002252,2023-12-31 00:00:00,058001001,0.19,20.95,2.785568274734,7.097744617062,9.529538021259,40619000000.0,,8716000000.0,8683000000.0,-9.6190645721,-18.6105145205,-18.7973440569,-2.3229529879,79.7854785479,80.3322949117,1.210182416,0.0992053747,,21.75582855314,四季度
600000.SH,600000,浦发银行,10002252,2023-09-30 00:00:00,058001001,0.12,20.54388116653,2.785568274734,6.912373943854,2.050967566094,41585000000.0,,4848000000.0,4815000000.0,-7.6627586819,-52.8771384137,-53.0472940029,-3.6291163588,-33.6526618311,-33.125,0.6786137969,0.0561078312,,11.968257785259,三季度
600000.SH,600000,浦发银行,10002252,2023-06-30 00:00:00,058001001,0.25,20.455471518125,2.785568274734,6.796095666394,-1.871524938675,43151000000.0,,7307000000.0,7200000000.0,-11.2885983307,-32.254774708,-32.1138977937,-10.2497972088,-53.8437243383,-45.3883495146,1.0241309183,0.0839001652,,17.299714954462,二季度
600000.SH,600000,浦发银行,10002252,2023-03-31 00:00:00,058001001,0.51,20.481568547288,2.785568274734,7.466169255928,3.523405560098,48079000000.0,,15831000000.0,13184000000.0,-3.8458461662,-18.3463998349,-31.5330286664,6.9801076944,47.8289289383,23.2956139531,2.2427674257,0.1838665263,,33.590548888288,一季度
600000.SH,600000,浦发银行,10002252,2022-12-31 00:00:00,058001001,0.25,20.03,2.785568274734,6.923548650859,13.237326246934,44942000000.0,,10709000000.0,10693000000.0,-5.3812792118,-6.6102729572,-5.2542973596,-0.2087219114,4.0921461897,4.2710872745,1.5409863665,0.1269935933,,24.20230519336,四季度
600000.SH,600000,浦发银行,10002252,2022-09-30 00:00:00,058001001,0.3,19.737189970019,2.785568274734,6.747615153993,-3.021940583265,45036000000.0,,10288000000.0,10255000000.0,-2.3482729461,-12.0533424517,-11.096662332,-7.4133464907,-4.6170962359,-3.3094474826,1.493926567,0.124314096,,23.367972288836,三季度
600000.SH,600000,浦发银行,10002252,2022-06-30 00:00:00,058001001,0.36,19.508108476424,2.785568274734,6.501601253748,11.584253202507,48642000000.0,,10786000000.0,10606000000.0,1.6700457747,-3.1864285073,-4.4590577425,-2.7198912044,-44.3676500928,-44.9210635646,1.5715804175,0.1299424486,,22.61214588216,二季度
600000.SH,600000,浦发银行,10002252,2022-03-31 00:00:00,058001001,0.64,19.57778004906,2.785568274734,7.212864540747,-9.360997547016,50002000000.0,,19388000000.0,19256000000.0,0.9692661847,3.6957800717,3.3712690573,5.2718009179,69.0764803349,70.6184653553,2.8567534415,0.2366811594,,39.192432302708,一季度
600000.SH,600000,浦发银行,10002252,2021-12-31 00:00:00,058001001,0.28,19.08,2.785568274734,6.578631779777,-3.00769964568,47498000000.0,,11467000000.0,11286000000.0,-0.3252680839,-15.5782963999,-15.5239520958,2.9900908519,-1.9746965293,-2.1586475943,1.7210804969,0.1436565575,,24.499978946482,四季度
600000.SH,600000,浦发银行,10002252,2021-09-30 00:00:00,058001001,0.35,18.732522485691,2.785534205506,6.300695012265,1.497410738621,46119000000.0,,11698000000.0,11535000000.0,-2.5462767306,-25.9010578324,-26.7758522186,-3.6034529607,4.9995512073,3.9095576975,1.7790133304,0.14733588,,25.857022051649,三季度
600000.SH,600000,浦发银行,10002252,2021-06-30 00:00:00,058001001,0.38,18.393704006541,2.785534205506,5.951553556827,-2.833094848733,47843000000.0,,11141000000.0,11101000000.0,4.0449731422,-3.9071933759,-3.4779584384,-3.390412342,-40.4129004653,-40.4069143225,1.7031626451,0.1401719506,,23.717158204962,二季度
600000.SH,600000,浦发银行,10002252,2021-03-31 00:00:00,058001001,0.61,18.499523030799,2.785534205506,6.997615153993,-4.418949304988,49522000000.0,,18697000000.0,18628000000.0,-10.6488163972,7.6954092506,7.7012025902,3.9221035402,37.6500036811,39.4311377246,2.8900536832,0.2354591901,,38.07802592787,一季度
600000.SH,600000,浦发银行,10002252,2020-12-31 00:00:00,058001001,0.43,18.0,2.785534205506,6.40630962115,-2.851764786045,47653000000.0,,13583000000.0,13360000000.0,7.5639925963,28.6147145157,27.969348659,0.6952075057,-13.9608538671,-15.1907573161,2.2429959014,0.1766818262,,28.965647493337,四季度
600000.SH,600000,浦发银行,10002252,2020-09-30 00:00:00,058001001,0.49,17.383926137912,2.785500136277,5.975299809212,2.95560779504,47324000000.0,,15787000000.0,15753000000.0,-2.9987496669,-2.8133464664,4.4767210505,2.9162951526,36.165257892,36.9706982002,2.7748946473,0.2097452022,,33.674245625898,三季度
600000.SH,600000,浦发银行,10002252,2020-06-30 00:00:00,058001001,0.4,17.109430362497,2.785500136277,5.486985554647,1.054749250477,45983000000.0,,11594000000.0,11501000000.0,-3.2242449753,-25.9027289576,-26.2709148022,-17.034136836,-33.218132596,-33.5048566142,2.033423277,0.1582005937,,25.496379096623,二季度
600000.SH,600000,浦发银行,10002252,2020-03-31 00:00:00,058001001,0.56,17.469031071137,2.785500136277,6.379531207413,3.147247206323,55424000000.0,,17361000000.0,17296000000.0,10.6620876927,5.4802843429,5.2260144795,25.1049614013,64.3878420604,65.6704980843,3.0746207861,0.2450631415,,31.628897228637,一季度
