date,open,close,high,low,amount
2022-01-04,437.93,437.68,439.45,435.64,258859.82
2022-01-05,438.18,435.9,438.44,434.88,239875.75
2022-01-06,434.88,435.13,436.66,434.63,191928.02
2022-01-07,435.13,438.69,443.27,435.13,319028.54
2022-01-10,442.0,443.01,444.54,438.44,344329.86
2022-01-11,442.76,439.71,442.76,438.69,194888.15
2022-01-12,441.74,438.18,441.74,437.93,213386.35
2022-01-13,438.18,438.69,439.71,436.66,161060.39
2022-01-14,438.18,435.39,438.44,434.88,151061.86
2022-01-17,435.39,433.61,435.64,432.59,195385.88
2022-01-18,433.61,434.88,434.88,433.1,115001.14
2022-01-19,434.37,433.61,435.64,433.1,115986.14
2022-01-20,433.36,432.34,433.61,431.32,141712.32
2022-01-21,432.59,429.54,432.59,428.53,154687.1
2022-01-24,429.54,429.03,430.31,428.02,76221.06
2022-01-25,428.78,418.87,428.78,418.11,224207.1
2022-01-26,418.36,421.66,422.17,418.11,100440.87
2022-01-27,421.41,412.77,421.41,412.01,152640.68
2022-01-28,415.82,413.79,415.82,409.21,147632.43
2022-02-07,415.82,415.82,417.34,414.55,109274.98
2022-02-08,416.07,419.89,420.39,415.31,120696.88
2022-02-09,418.11,419.89,420.65,417.34,140593.3
2022-02-10,419.89,421.16,421.41,418.61,101114.7
2022-02-11,420.65,418.61,420.65,418.11,93371.13
2022-02-14,414.55,420.14,421.16,411.75,132855.72
2022-02-15,419.38,418.87,420.9,417.6,60921.19
2022-02-16,419.63,417.6,420.39,417.6,91144.98
2022-02-17,417.6,415.06,417.85,414.8,122716.95
2022-02-18,415.31,414.8,415.31,412.77,135000.62
2022-02-21,414.8,417.85,418.87,414.55,112564.04
2022-02-22,417.09,414.55,417.09,413.79,91152.26
2022-02-23,415.31,416.07,416.84,414.8,71238.89
2022-02-24,416.33,410.23,416.33,409.72,173404.76
2022-02-25,411.5,410.48,413.02,409.97,113617.69
2022-02-28,411.75,405.65,411.75,402.86,149546.36
2022-03-01,405.65,405.65,406.92,404.64,106843.33
2022-03-02,404.89,404.89,405.4,404.13,86477.43
2022-03-03,404.89,402.86,405.4,401.84,183960.9
2022-03-04,402.35,398.03,402.35,397.27,161094.87
2022-03-07,397.27,389.13,397.27,387.61,250119.85
2022-03-08,389.13,382.27,391.17,382.02,243952.3
2022-03-09,383.29,381.0,385.83,374.14,271399.66
2022-03-10,384.81,384.05,386.08,382.78,184648.59
2022-03-11,382.02,384.05,385.07,378.21,222070.06
2022-03-14,382.02,377.95,384.05,377.95,169044.72
2022-03-15,377.7,363.97,377.7,363.97,251494.07
2022-03-16,366.26,370.07,371.6,359.14,264245.27
2022-03-17,371.34,373.63,376.68,370.84,219885.67
2022-03-18,372.36,376.43,377.7,372.36,164824.24
2022-03-21,376.43,377.7,378.46,375.41,172520.29
2022-03-22,377.44,378.71,379.98,376.17,113336.91
2022-03-23,379.73,377.95,381.0,377.19,113385.38
2022-03-24,376.93,375.16,378.46,374.39,104781.44
2022-03-25,376.17,375.41,377.44,373.89,118674.1
2022-03-28,373.89,375.41,376.68,370.33,139725.71
2022-03-29,377.44,379.22,384.05,376.68,300873.61
2022-03-30,378.97,375.16,379.48,373.12,285804.67
2022-03-31,374.39,371.6,375.66,371.34,203049.3
2022-04-01,370.84,372.11,372.11,368.04,187227.0
2022-04-06,371.34,370.84,373.12,369.06,198734.0
2022-04-07,369.56,363.47,370.07,363.21,254537.0
2022-04-08,362.19,361.43,364.48,360.16,193602.0
2022-04-11,360.92,352.79,361.18,351.77,276820.0
2022-04-12,352.03,353.55,354.57,348.98,300830.0
2022-04-13,352.79,350.0,354.57,349.74,194733.0
2022-04-14,352.03,357.62,359.91,351.77,314664.0
2022-04-15,355.08,356.1,358.38,353.81,181659.0
2022-04-18,356.1,354.82,356.86,353.81,137875.0
2022-04-19,354.82,357.37,358.89,354.82,150261.0
2022-04-20,356.86,354.82,358.64,353.3,163930.0
2022-04-21,354.06,349.23,355.08,348.98,178694.0
2022-04-22,348.72,352.03,353.05,347.2,146081.0
2022-04-25,350.5,346.18,351.27,344.4,277011.0
2022-04-26,346.18,342.88,347.71,342.37,233411.0
2022-04-27,340.34,344.91,346.69,333.22,282359.0
2022-04-28,344.66,341.86,345.68,339.58,170112.0
2022-04-29,344.15,350.5,354.06,343.9,251752.0
2022-05-05,350.0,351.27,352.54,349.23,204348.0
2022-05-06,347.71,344.15,347.96,344.15,154489.0
2022-05-09,344.15,344.66,347.2,343.13,105661.0
2022-05-10,342.88,347.45,347.96,340.59,151807.0
2022-05-11,348.72,352.03,354.82,347.45,201794.0
2022-05-12,350.5,352.28,353.81,350.5,127371.0
2022-05-13,352.79,363.21,366.01,352.54,398983.0
2022-05-16,363.97,358.38,364.99,358.13,240707.0
2022-05-17,358.38,363.47,366.01,357.11,289358.0
2022-05-18,363.47,363.97,368.29,361.18,278385.0
2022-05-19,361.18,367.53,367.53,359.91,244782.0
2022-05-20,366.26,372.87,377.44,364.23,455517.0
2022-05-23,376.43,378.46,382.53,370.58,579301.0
