date,open,close,high,low,amount
2022-01-04,701.43,684.51,702.77,676.03,27725.8
2022-01-05,689.89,671.91,692.75,671.75,21917.71
2022-01-06,666.76,681.46,686.59,666.23,26755.48
2022-01-07,681.46,663.12,683.98,653.85,21933.08
2022-01-10,661.39,662.67,666.43,642.4,19595.2
2022-01-11,664.75,646.6,664.75,645.15,15105.08
2022-01-12,646.83,647.72,654.47,638.99,16168.79
2022-01-13,648.09,618.99,648.09,611.55,46690.38
2022-01-14,611.07,606.76,622.47,603.65,30579.42
2022-01-17,606.65,608.75,612.78,592.14,22799.74
2022-01-18,610.17,608.38,617.45,597.83,35703.04
2022-01-19,604.32,593.07,605.08,583.57,35727.83
2022-01-20,592.79,600.09,602.14,585.65,43084.74
2022-01-21,595.03,626.95,635.63,592.09,51138.74
2022-01-24,630.47,629.35,645.15,614.71,40280.17
2022-01-25,627.81,615.83,638.43,614.35,35008.68
2022-01-26,615.83,655.98,661.95,615.83,63932.87
2022-01-27,653.55,635.35,660.49,631.15,39850.2
2022-01-28,639.55,610.15,640.05,608.75,30648.73
2022-02-07,622.8,643.89,668.81,622.8,58882.04
2022-02-08,643.63,614.21,643.63,594.75,37789.89
2022-02-09,614.18,658.59,661.81,608.41,36930.04
2022-02-10,656.35,662.09,675.95,649.85,29705.66
2022-02-11,672.22,690.79,701.31,653.83,33611.96
2022-02-14,681.55,686.87,710.11,673.15,19996.93
2022-02-15,684.79,688.74,694.99,675.95,14264.55
2022-02-16,686.33,674.83,689.95,672.03,17974.22
2022-02-17,673.15,670.15,679.92,657.97,23968.2
2022-02-18,664.75,673.85,678.41,656.35,14324.71
2022-02-21,670.35,668.39,684.35,661.95,14930.21
2022-02-22,663.63,658.64,668.95,649.01,14513.76
2022-02-23,658.64,659.45,664.19,644.08,13758.75
2022-02-24,659.01,631.15,660.69,621.85,19090.53
2022-02-25,634.76,636.21,645.09,629.44,18969.59
2022-02-28,633.92,642.35,649.29,623.05,19414.27
2022-03-01,647.33,647.95,660.99,626.02,34250.5
2022-03-02,642.35,633.95,644.05,628.01,17888.38
2022-03-03,635.63,612.95,636.19,611.83,19574.43
2022-03-04,612.95,623.59,626.95,603.15,19028.72
2022-03-07,622.69,600.51,622.69,597.55,33093.83
2022-03-08,607.32,587.3,622.49,586.35,24265.47
2022-03-09,587.94,575.99,594.91,555.52,31314.93
2022-03-10,592.51,586.4,596.15,578.62,30231.99
2022-03-11,578.17,571.23,580.72,552.77,52437.15
2022-03-14,563.95,545.75,565.32,541.55,31008.9
2022-03-15,536.17,510.72,536.17,508.31,39718.07
2022-03-16,521.61,512.87,521.95,488.35,50677.89
2022-03-17,519.48,538.72,549.61,514.67,38408.06
2022-03-18,537.35,544.35,549.08,528.11,22478.83
2022-03-21,545.75,544.35,548.41,536.37,14061.7
2022-03-22,547.15,540.26,550.34,534.49,13491.93
2022-03-23,540.12,549.44,552.13,540.12,20409.38
2022-03-24,544.35,539.78,550.79,535.67,20649.44
2022-03-25,542.95,522.87,542.95,518.61,26115.88
2022-03-28,512.9,500.44,515.95,494.87,34269.23
2022-03-29,500.64,482.91,513.49,477.15,44406.05
2022-03-30,485.55,507.95,513.55,485.55,38362.13
2022-03-31,507.95,503.35,509.35,498.15,18847.51
2022-04-01,501.59,512.15,518.25,496.86,24335.0
2022-04-06,510.77,503.63,510.77,501.93,18579.0
2022-04-07,500.13,505.87,509.88,499.01,21222.0
2022-04-08,507.89,501.0,517.69,496.75,34440.0
2022-04-11,497.25,483.31,500.89,475.75,27749.0
2022-04-12,483.33,502.35,504.87,473.14,41851.0
2022-04-13,493.61,500.5,509.35,489.94,22190.0
2022-04-14,505.17,529.98,533.79,502.37,33981.0
2022-04-15,527.55,547.34,562.74,521.95,50716.0
2022-04-18,542.11,547.71,555.27,538.75,16353.0
2022-04-19,544.85,545.75,562.18,544.35,22738.0
2022-04-20,546.87,554.2,566.19,530.63,32928.0
2022-04-21,551.4,549.13,561.96,527.55,22854.0
2022-04-22,547.15,548.18,555.55,542.67,15554.0
2022-04-25,537.68,518.59,541.55,516.88,17465.0
2022-04-26,524.19,530.35,545.72,519.15,22659.0
2022-04-27,530.09,563.13,563.13,529.87,35829.0
2022-04-28,555.52,577.95,593.23,553.36,27447.0
2022-04-29,591.58,570.97,613.39,560.78,32402.0
2022-05-05,582.62,597.35,625.71,581.87,52579.0
2022-05-06,589.15,582.68,590.99,571.23,24772.0
2022-05-09,580.66,566.21,580.69,547.68,28490.0
2022-05-10,551.85,562.35,569.57,546.59,20450.0
2022-05-11,563.95,589.15,607.63,561.62,36215.0
2022-05-12,589.09,599.98,610.59,579.01,19982.0
2022-05-13,599.51,595.03,605.58,589.43,11733.0
2022-05-16,598.39,603.45,610.15,594.77,14784.0
2022-05-17,600.12,606.14,612.11,597.83,14737.0
2022-05-18,605.95,601.19,607.43,584.13,23278.0
2022-05-19,589.71,590.85,599.23,585.53,13407.0
2022-05-20,593.91,618.94,618.94,593.91,23822.0
2022-05-23,618.94,601.63,624.9,596.48,24637.0
2022-05-24,608.19,590.88,608.72,589.43,18883.0
2022-05-25,590.88,580.41,594.72,564.45,30623.0
2022-05-26,577.92,583.6,585.48,569.55,26076.0
2022-05-27,582.01,591.47,600.04,581.59,16527.0
2022-05-30,596.96,636.19,636.19,591.95,40097.0
2022-05-31,628.35,661.92,667.21,622.8,39611.0
2022-06-01,656.35,656.07,670.4,648.79,17978.0
2022-06-02,654.47,647.95,656.35,637.17,14146.0
2022-06-06,643.27,654.67,656.35,626.19,30741.0
2022-06-07,650.75,659.17,682.95,646.55,30464.0
