实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-05-29,年度分红,,,1.8,2008-06-03,2008-06-04,2008-06-10,,10派1.8元（含税）,2007年报
2009-06-16,年度分红,,,4.6,2009-06-19,2009-06-22,2009-06-30,,10派4.6元（含税）,2008年报
2010-06-29,年度分红,,,5.3,2010-07-02,2010-07-05,2010-07-20,,10派5.3元（含税）,2009年报
2011-06-03,年度分红,,,7.5,2011-06-10,2011-06-13,2011-06-17,,10派7.5元(含税),2010年报
2012-06-01,年度分红,,,9.0,2012-06-08,2012-06-11,2012-06-15,,10派9元(含税),2011年报
2013-06-28,年度分红,,,9.6,2013-07-05,2013-07-08,2013-07-12,,10派9.6元(含税),2012年报
2014-07-04,年度分红,,,9.1,2014-07-11,2014-07-14,2014-07-14,,10派9.1元(含税),2013年报
2015-06-06,年度分红,,,7.4,2015-06-12,2015-06-15,2015-06-15,,10派7.4元(含税),2014年报
2016-06-25,年度分红,,,3.2,2016-07-01,2016-07-04,2016-07-04,,10派3.2元(含税),2015年报
2017-07-03,年度分红,,,4.6,2017-07-07,2017-07-10,2017-07-10,,10派4.6元(含税),2016年报
2017-07-03,特别分红,,,25.1,2017-07-07,2017-07-10,2017-07-10,,10派25.1元(含税),2017一季报
2018-06-30,年度分红,,,9.1,2018-07-06,2018-07-09,2018-07-09,,10派9.1元(含税),2017年报
2019-07-01,年度分红,,,8.8,2019-07-05,2019-07-08,2019-07-08,,10派8.8元(含税),2018年报
2020-06-08,年度分红,,,12.6,2020-06-12,2020-06-15,2020-06-15,,10派12.6元(含税),2019年报
2021-07-05,年度分红,,,18.1,2021-07-09,2021-07-12,2021-07-12,,10派18.1元(含税),2020年报
2022-07-04,年度分红,,,25.4,2022-07-08,2022-07-11,2022-07-11,,10派25.4元(含税),2021年报
2023-06-28,年度分红,,,25.5,2023-07-04,2023-07-05,2023-07-05,,10派25.5元(含税),2022年报
2024-07-01,年度分红,,,22.6,2024-07-05,2024-07-08,2024-07-08,,10派22.6元(含税),2023年报
2025-06-30,年度分红,,,22.6,2025-07-04,2025-07-07,2025-07-07,,10派22.6元(含税),2024年报
2025-11-04,中期分红,,,9.8,2025-11-07,2025-11-10,2025-11-10,,10派9.8元(含税),2025半年报
