日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2015-06-30,0.3273,0.33,0.33,,2.5179,2.5179,7.0753,0.5426,0.7298,,1.3311,,1.8031,93.6201,,,,32.7346,13.0006,1.3311,42.5737,,23.0152,-12.0998,,,-163225315.58,13.0,,,,338.4889,26.3988,296.1804,,,,,,,,,,,,,,,,10.2384,,,876.7136,,,,976.7136,0.0,,,89.7616,73778929435.68,,0.2877,21.6142,0.3205,,,,,28314697.43,,,,,,,,,,,,,,
2015-12-31,0.6114,0.61,0.61,0.61,2.8164,2.82,1.2133,0.5191,0.8237,,3.3057,,4.0475,91.6971,,,,74.8248,26.5678,4.0453,40.6503,,21.5409,-12.1889,,,-307779483.57,21.72,24.46,1823885436.83,,144.4994,28.885,57.8608,,,,,,,,,,,,,,,,15.2264,,858.8231,556.7553,,,70.5635,656.7553,0.0,,1.7729,84.7736,55490018737.54,,0.0656,1.9844,0.0774,,,,,42308302.58,,,,,,,,,,,,,,
2016-03-31,0.066,0.07,0.07,,2.8841,2.88,-1.336,0.5191,0.8897,,0.3736,,0.3652,44.2718,,,,6.6049,2.2901,0.3736,27.7371,,28.0012,-19.0242,,,-52522158.6,2.29,,,,,,,,,,,,,,,,,,,,,,16.3156,,,512.9111,,,,612.9111,0.0,,,83.6844,53031705105.22,,-0.0756,-20.2279,-0.0903,,,,,55599004.27,,,,,,,,,,,,,,
2016-06-30,0.1729,0.17,0.17,,2.9305,2.9305,-1.3476,0.5506,0.944,,0.9681,,0.9511,61.3071,,,,17.287,5.899,0.9681,33.013,,23.8207,-11.9625,,,-84862694.29,5.9,,,,-47.1905,16.3851,-27.3905,,,,,,,,,,,,,,,,16.4111,,,509.3448,,,,609.3448,0.0,,,83.5889,53570496144.69,,-0.0755,-7.7957,-0.0903,,,,,108421973.49,,,,,,,,,,,,,,
2016-09-30,0.3265,0.33,0.33,,,,-2.504,,,,,,,1469.4463,,,,32.6503,,,39.2167,,25.5404,-6.8053,,,-91059652.69,,11.13,966679959.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.6692,,,,,,,,,,,,,,,,,,,,
2016-12-31,0.4137,0.41,0.41,0.41,3.1885,3.19,-1.9637,0.5191,1.0791,,2.3094,,2.2723,80.7382,,,,56.695,17.7811,3.1651,35.3772,,19.3232,-5.8439,,,-96028250.22,12.97,13.82,1225483854.04,,-32.3462,13.213,-3.1587,,,,,,,,,,,,,,,,17.8005,,998.5116,461.7819,,,67.5665,561.7819,0.0,,1.7827,82.1995,53737245553.09,,-0.1096,-4.7472,-0.1334,,,,,109400731.99,,,,,,,,,,,,,,
2017-03-31,0.088,0.09,0.09,0.09,3.2755,3.2755,-0.4403,0.5191,1.167,,0.4829,,0.487,77.2666,,,,8.7974,2.6858,0.4829,34.5249,,27.9212,-1.581,,,-5554769.56,2.69,2.72,259993549.55,,33.195,13.5708,3.0666,,,,,,,,,,,,,,,,17.9784,,,456.2228,,,,556.2228,0.0,,,82.0216,54657991962.13,,-0.0242,-5.005,-0.0295,,,,,109519868.69,,,,,,,,,,,,,,
2017-06-30,0.158,0.18,0.18,0.17,3.8547,3.8547,-0.3337,1.1942,1.1292,,0.9548,,0.9674,78.1787,,,,30.3255,7.8671,1.8323,33.7737,,45.4536,-1.5171,,,-10670687.27,4.1,5.36,513932623.37,,1.5753,46.1533,2.9847,,,,,,,,,,,,,,,,23.2902,,1371.7107,329.3656,,,65.9294,429.3656,0.0,,1.6979,76.7098,55169422960.83,,-0.0202,-2.1117,-0.0263,,,,,133316248.94,,,,1095922.11,148737.46,,,,,,,,,
2017-09-30,0.2435,0.26,0.26,,3.9425,3.9425,-1.8409,1.1942,1.2147,,1.5778,,1.5435,79.5135,,,,24.3533,6.1771,1.5778,32.3659,,50.8916,-1.5758,,,-16889338.88,6.18,8.14,796935473.1,,-17.1241,,,,,,,,,,,,,,,,,,25.543,,,291.4961,,,,391.4961,0.0,,,74.457,51448929254.85,,-0.1193,-7.5593,-0.1602,,,,,135101614.92,,,,,,,,,,,,,,
2017-12-31,0.3191,0.34,0.34,0.33,4.0542,4.0542,-3.3022,1.1942,1.2119,,2.0096,,1.9942,77.864,,,,46.8946,11.567,2.9538,,,58.2684,-2.1793,,,-30626399.99,7.87,9.22,1047108572.43,,-14.3023,41.2774,-1.5201,,,,,,,,,,,,,,,,25.5363,,1412.3077,291.5998,,,65.6957,391.5998,0.0,,1.8081,74.4637,52920373669.37,,-0.208,-10.3501,-0.2793,,,,,130122409.78,,,,,,,,,,,,,,
