报告日,资产,现金及存放中央银行款项,其中:现金,存放中央银行款,结算准备金,贵金属,存放同业款项,专项央行票据,央行专项扶持资金,存出保证金,拆出资金,其中:拆放同业,拆放金融性公司,存放联行款项,存出发钞基金,交易性金融资产,买入返售金融资产,应收账款,应收票据,应收款项融资,预付账款,应收利息,应收股利,应收租赁款,贴现,进出口押汇,发放贷款及垫款净额,发放贷款及垫款,减:贷款损失准备,代理业务资产,委托贷款及委托投资,存货,待处理抵债资产,减:抵债资产减值准备,待处理抵债资产净额,待摊费用,可供出售金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,长期股权投资,其中:投资子公司,债权投资,其他债权投资,投资性房地产,衍生金融工具资产,其他权益工具投资,长期应收款,固定资产原值,减:累计折旧,固定资产净值,减:固定资产减值准备,在建工程,固定资产净额,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,划分为持有待售的资产,减:未确认的收益,应收投资款项,其他应收款,合同资产,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他资产,减:不良资产处置损失专项准备,资产总计,负债,短期借款,向中央银行借款,发行货币债务,同业存入及拆入,其中:同业存放款项,拆入资金,客户存款(吸收存款),联行存放款项,外国政府借款,借入其他资金,央行拨付专项票据资金,保证款项,财政拨款,委托存款,衍生金融工具负债,交易性金融负债,卖出回购金融资产款,票据融资,应解汇款及临时存款,发行存款证,汇出汇款,应付票据,应付账款,预收账款,应付职工薪酬,其中:应付工资,应付福利费,应交税费,应付利息,应付股利,其他应付款,代理业务负债,划分为持有待售的负债,存入保证金,合同负债,贴现负债,预提费用,预计负债,递延收益,长期借款,应付债券,其中:应付次级债券,应付债券：优先股,应付债券：永续债,长期应付款,租赁负债,专项应付款,递延所得税负债,货币兑换,其他负债,负债合计,股东权益,股本,其他权益工具,其中:优先股,其中：永续债,资本公积,其他综合收益,可供出售类投资未实现损益(公允价值变动储备),持有至到期投资未结转损益,减:库藏股,盈余公积,一般风险准备,未确定的投资损失,信托赔偿准备金,未分配利润,其中:拟分配现金股利,外币报表折算差额,其他储备,归属于母公司股东的权益,少数股东权益,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,63314287000.0,,,,,36786913000.0,,,,104605349000.0,,,,,111045504000.0,16391867000.0,,,,,,,,,,797802752000.0,830095000000.0,32292248000.0,,,,,,,,,,,556428000.0,,250970161000.0,358666972000.0,,782828000.0,2264416000.0,,,,,,187122000.0,5799599000.0,,5986721000.0,,,,,,,,219894000.0,571987000.0,,,13789060000.0,2567154000.0,,1766322293000.0,,,112194220000.0,,85181145000.0,1973292000.0,83207853000.0,1107904608000.0,,,,,,,,262386000.0,15422825000.0,120543021000.0,,,,,,,,5800889000.0,,,1159750000.0,,,,,,,,,,471484000.0,,,162261807000.0,,,,,198891000.0,,,,10699122000.0,1622100148000.0,,11357000000.0,5997648000.0,,5997648000.0,20307595000.0,2155373000.0,,,,16957530000.0,21543043000.0,,,63648147000.0,,,,141966336000.0,2255809000.0,1766322293000.0,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T19:30:10
20251231,,55090581000.0,,,,,42148564000.0,,,,100292348000.0,,,,,81118927000.0,34197176000.0,,,,,,,,,,765892687000.0,797287000000.0,31394313000.0,,,,,,,,,,,549048000.0,,248897954000.0,311174434000.0,,938995000.0,2437465000.0,,13163312000.0,7977402000.0,5185910000.0,58316000.0,170736000.0,5127594000.0,,5298330000.0,,,,,,,,194180000.0,582228000.0,,,14122588000.0,2808630000.0,,1665744135000.0,,,105968258000.0,,74378994000.0,986104000.0,73392890000.0,1028727509000.0,,,,,,,,200000.0,11960672000.0,95885016000.0,,,,,,,,6202427000.0,,,941915000.0,,,,,,,,,,460284000.0,,,188485277000.0,,,,,164133000.0,,,,13273651000.0,1526448336000.0,,11357000000.0,5997648000.0,,5997648000.0,20307595000.0,1250339000.0,,,,16957530000.0,21536127000.0,,,59720506000.0,,,,137126745000.0,2169054000.0,1665744135000.0,定期报告,是,20260429,CNY,合并期末,2026-03-25T20:34:03
20250930,,54092248000.0,,,,,44410464000.0,,,,100344803000.0,,,,,105968583000.0,31197855000.0,,,,,,,,,,746326734000.0,777973300000.0,31646566000.0,,,,,,,,,,,542853000.0,,257736813000.0,290754390000.0,,369731000.0,2037817000.0,,,,,,173743000.0,4315819000.0,,4489562000.0,,,,,,,,204209000.0,566230000.0,,,13736865000.0,3031071000.0,,1655810228000.0,,,103550968000.0,,72058752000.0,686623000.0,71372129000.0,1027091608000.0,,,,,,,,9358000.0,11733492000.0,103409303000.0,,,,,,,,5531863000.0,,,1216503000.0,,,,,,,,,,293574000.0,,,181078864000.0,,,,,183604000.0,,,,9976114000.0,1516134003000.0,,11357000000.0,5997648000.0,,5997648000.0,20307595000.0,816545000.0,,,,15872212000.0,21528189000.0,,,61688498000.0,,,,137567687000.0,2108538000.0,1655810228000.0,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:50:04
20250630,,56575244000.0,,,,,41400915000.0,,,,96056686000.0,,,,,106415336000.0,29100889000.0,,,,,,,,,,733545482000.0,765244969000.0,31699487000.0,,,,,,,,,,,538728000.0,,271799308000.0,271551879000.0,,259128000.0,2010337000.0,,12090729000.0,7743684000.0,4347045000.0,57827000.0,347823000.0,4289218000.0,,4637041000.0,,,,,,,,196092000.0,576052000.0,,,12919178000.0,2548644000.0,,1630130939000.0,,,98013534000.0,,63989460000.0,2345635000.0,61643825000.0,1025194943000.0,,,,,,,,18715000.0,11706089000.0,91519966000.0,,,,,,,,5482081000.0,,,1211957000.0,,,,,,,,,,291099000.0,,,184689992000.0,,,,,176000000.0,,,,8981618000.0,1491275454000.0,,11357000000.0,5997648000.0,,5997648000.0,20307595000.0,2913817000.0,,,,15872212000.0,21519733000.0,,,58862100000.0,,,,136830105000.0,2025380000.0,1630130939000.0,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T21:36:10
20250331,,58247147000.0,,,,,39734185000.0,,,,94382918000.0,,,,,99828580000.0,26901931000.0,,,,,,,,,,712766091000.0,744443900000.0,31677809000.0,,,,,,,,,,,527496000.0,,286639941000.0,268491472000.0,,170830000.0,1947904000.0,,,,,,330486000.0,4028081000.0,,4358567000.0,,,,,,,,161199000.0,586069000.0,,,12569778000.0,3019800000.0,,1610333908000.0,,,103612584000.0,,64860586000.0,3527109000.0,61333477000.0,1035773402000.0,,,,,,,,3525000.0,10466540000.0,79759111000.0,,,,,,,,5639410000.0,,,1262175000.0,,,,,,,,,,341532000.0,,,166588473000.0,,,,,144545000.0,,,,6515567000.0,1474967450000.0,,11357000000.0,5997648000.0,,5997648000.0,20307593000.0,2095175000.0,,,,15872212000.0,20388996000.0,,,57368267000.0,,,,133386891000.0,1979567000.0,1610333908000.0,定期报告,未审计,20250426,CNY,合并期末,2025-04-25T19:14:06
20241231,,51204006000.0,,,,,21032927000.0,,,,90440520000.0,,,,,84554813000.0,20937314000.0,,,,,,,,,,683830682000.0,714273015000.0,30442333000.0,,,,,,,,,,,509682000.0,,297248006000.0,244824694000.0,,5295000.0,1375617000.0,,11560170000.0,7429521000.0,4130649000.0,57827000.0,325174000.0,4072822000.0,,4397996000.0,,,,,,,,170349000.0,598845000.0,,,11705083000.0,2105841000.0,,1514941670000.0,,,103007638000.0,,64597500000.0,3031742000.0,61565758000.0,941946157000.0,,,,,,,,3140000.0,9878249000.0,71937669000.0,,,,,,,,6110069000.0,,,1004645000.0,,,,,,,,,,353902000.0,,,171657542000.0,,,,,146181000.0,,,,10690191000.0,1381332883000.0,,11357000000.0,5997648000.0,,5997648000.0,20306543000.0,4147550000.0,,,,15872212000.0,20379718000.0,,,53632913000.0,,,,131693584000.0,1915203000.0,1514941670000.0,定期报告,是,20260326,CNY,合并期末,2025-03-25T19:55:02
20240930,,52305928000.0,,,,,22038241000.0,,,,90760467000.0,,,,,78047490000.0,29487602000.0,,,,,,,,,,685480580000.0,715376100000.0,29895520000.0,,,,,,,,,,,501043000.0,,301013170000.0,237114597000.0,,11680000.0,1305670000.0,,,,,,354977000.0,4172447000.0,,4527424000.0,,,,,,,,172495000.0,593772000.0,,,12024450000.0,2082849000.0,,1517467458000.0,,,107830029000.0,,55830049000.0,1037973000.0,54792076000.0,939887638000.0,,,,,,,,11107000.0,9483500000.0,85300280000.0,,,,,,,,5079334000.0,,,1068044000.0,,,,,,,,,,370936000.0,,,171947030000.0,,,,,153160000.0,,,,8429126000.0,1385390233000.0,,11357000000.0,5997648000.0,,5997648000.0,20303561000.0,1615984000.0,,,,14822232000.0,20368960000.0,,,55696667000.0,,,,130162052000.0,1915173000.0,1517467458000.0,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T17:35:06
20240630,,53349969000.0,,,,,17739778000.0,,,,89215608000.0,,,,,99713107000.0,33489878000.0,,,,,,,,,,676738081000.0,706864576000.0,30126495000.0,,,,,,,,,,,489314000.0,,304883473000.0,213227895000.0,,12758000.0,1190838000.0,,11476833000.0,7180831000.0,4296002000.0,,337024000.0,4296002000.0,,4633026000.0,,,,,,,,164621000.0,604965000.0,,,12052446000.0,2365237000.0,,1509870994000.0,,,105958637000.0,,72733236000.0,15213203000.0,57520033000.0,941647543000.0,,,,,,,,12897000.0,8019780000.0,87192856000.0,,,,,,,,5309573000.0,,,1445862000.0,,,,,,,,,,405207000.0,,,149287980000.0,,,,,146726000.0,,,,8450568000.0,1380610865000.0,,11357000000.0,5997648000.0,,5997648000.0,20301549000.0,1617340000.0,,,,14822232000.0,20356246000.0,,,52919633000.0,,,,127371648000.0,1888481000.0,1509870994000.0,定期报告,未审计,20240829,CNY,合并期末,2024-08-28T20:30:03
20240331,,57575366000.0,,,,,10959582000.0,,,,87760508000.0,,,,,112068484000.0,39613006000.0,,,,,,,,,,666682870000.0,696970700000.0,30287830000.0,,,,,,,,,,,467143000.0,,308311157000.0,186932527000.0,,10681000.0,1287133000.0,,,,,,342083000.0,4380350000.0,,4722433000.0,,,,,,,,176483000.0,606743000.0,,,11708358000.0,2200224000.0,,1491082698000.0,,,105297911000.0,,100529225000.0,44764495000.0,55764730000.0,951560430000.0,,,,,,,,4821000.0,6655205000.0,87361013000.0,,,,,,,,5235287000.0,,,1464772000.0,,,,,,,,,,442313000.0,,,96192927000.0,,,,,161753000.0,,,,8118860000.0,1363024517000.0,,11357000000.0,5997648000.0,,5997648000.0,20301549000.0,959954000.0,,,,14822232000.0,19132303000.0,,,53664185000.0,,,,126234871000.0,1823310000.0,1491082698000.0,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T20:40:03
20231231,,55782700000.0,,,,,15434655000.0,,,,93211313000.0,,,,,110774968000.0,11451770000.0,,,,,,,,,,647276750000.0,676710639000.0,29433889000.0,,,,,,,,,,,477343000.0,,321772087000.0,164925901000.0,,20911000.0,1309851000.0,,11433739000.0,6894409000.0,4539330000.0,,296642000.0,4539330000.0,,4835972000.0,,,,,,,,188534000.0,613999000.0,,,11541786000.0,1463403000.0,,1441081943000.0,,,107161736000.0,,107264185000.0,55923696000.0,51340489000.0,896202230000.0,,,,,,,,15061000.0,8748274000.0,63309673000.0,,,,,,,,5765320000.0,,,872906000.0,,,,,,,,,,504749000.0,,,119579392000.0,,,,,165213000.0,,,,7991583000.0,1317580322000.0,,11357000000.0,5997648000.0,,5997648000.0,20308989000.0,-24388000.0,,,,14822232000.0,19117715000.0,,,50154444000.0,,,,121733640000.0,1767981000.0,1441081943000.0,定期报告,是,20250326,CNY,合并期末,2024-03-28T22:00:03
20230930,,53716979000.0,,,,,17877800000.0,,,,90866176000.0,,,,,107943641000.0,1817885000.0,,,,,,,,,,650344144000.0,679258400000.0,28914256000.0,,,,,,,,,,,448087000.0,,359556938000.0,144009587000.0,,54184000.0,1187968000.0,,,,,,456581000.0,4324246000.0,,4780827000.0,,,,,,,,200084000.0,576641000.0,,,11122544000.0,2953058000.0,,1447456543000.0,,,95657513000.0,,99109985000.0,46915347000.0,52194638000.0,907832617000.0,,,,,,,,18905000.0,6064687000.0,55493477000.0,,,,,,,,5123329000.0,,,1144698000.0,,,,,,,,,,505546000.0,,,146478787000.0,,,,,174785000.0,,,,7397337000.0,1325001666000.0,,11357000000.0,5997648000.0,,5997648000.0,20338389000.0,-307137000.0,,,,13841815000.0,19097412000.0,,,50207744000.0,,,,120532871000.0,1922006000.0,1447456543000.0,定期报告,未审计,20231028,CNY,合并期末,2023-10-27T21:10:02
20230630,,56967451000.0,,,,,9805211000.0,,,,91067636000.0,,,,,104146651000.0,2536922000.0,,,,,,,,,,645177749000.0,673736027000.0,28558278000.0,,,,,,,,,,,437584000.0,,376325700000.0,132516695000.0,,108275000.0,1153861000.0,,10960196000.0,6614080000.0,4346116000.0,,477941000.0,4346116000.0,,4824057000.0,,,,,,,,193679000.0,582428000.0,,,10914925000.0,1592145000.0,,1438350969000.0,,,93747037000.0,,103061964000.0,48971318000.0,54090646000.0,902482065000.0,,,,,,,,28589000.0,5666003000.0,53991874000.0,,,,,,,,5115821000.0,,,1252414000.0,,,,,,,,,,432596000.0,,,145306497000.0,,,,,167874000.0,,,,7365095000.0,1318617829000.0,,11357000000.0,5997648000.0,,5997648000.0,20338389000.0,-165200000.0,,,,13841815000.0,19085796000.0,,,47410440000.0,,,,117865888000.0,1867252000.0,1438350969000.0,定期报告,未审计,20230826,CNY,合并期末,2023-08-25T19:40:01
