报告日,资产,货币资金,存放中央银行款项,存放同业款项,结算备付金,贵金属,拆出资金,交易性金融资产,买入返售金融资产,应收票据,应收账款,应收款项融资,预付账款,应收股利,应收利息,应收保费,应收代位追偿款,应收分保账款,应收分保合同准备金,应收分保未到期责任准备金,应收分保未决赔款准备金,应收分保寿险责任准备金,应收分保长期健康险责任准备金,应收保证金,应收投资款项,应收次级债,其他应收款,贴现,发放贷款及垫款净额,存货净额,保费准备金,农险保费准备金,其他保险责任准备金,保单质押贷款,划分为持有待售的资产,可供出售金融资产,长期股权投资,投资性房地产,债权投资,债权计划投资,其他债权投资,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,衍生金融资产,长期应收款,存出资本保证金,固定资产原值,减：累计折旧,固定资产净值,减：固定资产减值准备,在建工程,固定资产净额,固定资产合计,定期存款,合同资产,使用权资产,其中:交易席位费,无形资产,商誉,长期待摊费用,独立账户资产,递延税款借项,其他长期资产,资产总计,负债,短期借款,同业存放款项,拆入资金,吸收存款,交易性金融负债,卖出回购金融资产款,应付票据,应付账款,预收账款,应付手续费及佣金,应付职工薪酬,应交税金,应付利息,应付股利,其他应付款,应付保户红利,应付分保账款,应付赔付款,应付保证金,预收保费,代买卖证券款,代理承销证券款,预计负债,划分为持有待售的负债,衍生金融负债,长期借款,应付债券款,其中：应付次级债,应付债券：优先股,应付债券：永续债,保险合同准备金,未到期责任准备金,未决赔款准备金,寿险责任准备金,长期健康险责任准备金,应付长期保险保障基金,保户储金,独立账户负债,长期应付款,专项应付款,合同负债,租赁负债,长期递延收益,递延税款贷项,其他负债,负债合计,所有者权益,股本,其他权益工具,其中：优先股,其中：永续债,资本公积,其他综合收益,盈余公积,一般风险准备,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,88523000000.0,,,,,,718075000000.0,13004000000.0,,,,,,,,,,,,,,,,,,,,,,397000000.0,,,,,,14680000000.0,27061000000.0,49888000000.0,,1802616000000.0,192813000000.0,,,8000000.0,,6850000000.0,,,,,1239000000.0,26379000000.0,27618000000.0,210322000000.0,,1701000000.0,,6990000000.0,1357000000.0,,,4542000000.0,15248000000.0,3227111000000.0,,,,,,,219944000000.0,,,,6844000000.0,8640000000.0,4952000000.0,,,,,,,,5127000000.0,,,,,1647000000.0,123000000.0,22205000000.0,,,,,,,,,,,,,,2539861000000.0,1500000000.0,,5957000000.0,57760000000.0,2874957000000.0,,9620000000.0,,,,79932000000.0,-10431000000.0,5114000000.0,35461000000.0,199906000000.0,,319602000000.0,32552000000.0,352154000000.0,3227111000000.0,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T17:29:03
20251231,,62789000000.0,,,,,,714868000000.0,24512000000.0,,,,,,,,,,,,,,,,,,,,,,201000000.0,,,,,,14616000000.0,28147000000.0,52601000000.0,,1772078000000.0,176161000000.0,,,5000000.0,,6900000000.0,41030000000.0,15101000000.0,25929000000.0,70000000.0,1086000000.0,25859000000.0,26945000000.0,187310000000.0,,1776000000.0,,7257000000.0,1357000000.0,,,3643000000.0,16056000000.0,3144767000000.0,,,,,,,218930000000.0,,,,5835000000.0,11116000000.0,3722000000.0,,,,,,,,20237000000.0,,,,,2372000000.0,154000000.0,22678000000.0,,,,,,,,,,,,,,2466607000000.0,1571000000.0,,4517000000.0,52603000000.0,2810543000000.0,,9620000000.0,,,,79932000000.0,-17390000000.0,5114000000.0,35420000000.0,189447000000.0,,302143000000.0,32081000000.0,334224000000.0,3144767000000.0,定期报告,是,20260429,CNY,合并期末,2026-04-28T17:29:03
20250930,,46292000000.0,,,,,,723365000000.0,12904000000.0,,,,,,,,,,,,,,,,,,,,,,802000000.0,,,,,,13160000000.0,28055000000.0,53637000000.0,,1740402000000.0,168229000000.0,,,12000000.0,,6927000000.0,,,,,2100000000.0,24490000000.0,26590000000.0,181801000000.0,,1840000000.0,,6832000000.0,1357000000.0,,,4294000000.0,16019000000.0,3077640000000.0,,,,,,,190152000000.0,,,,6744000000.0,9463000000.0,4036000000.0,,,,,,,,6213000000.0,,,,,1782000000.0,154000000.0,22636000000.0,,,,,,,,,,,,,,2463651000000.0,1623000000.0,,3983000000.0,50688000000.0,2761927000000.0,,9620000000.0,,,,79932000000.0,-27785000000.0,5114000000.0,30051000000.0,187253000000.0,,284185000000.0,31528000000.0,315713000000.0,3077640000000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T18:11:04
20250630,,46404000000.0,,,,,,674401000000.0,21349000000.0,,,,,,,,,,,,,,,,,,,,,,652000000.0,,,,,,13148000000.0,28396000000.0,55357000000.0,,1746373000000.0,154172000000.0,,,11000000.0,,6898000000.0,,,,,3357000000.0,22715000000.0,26072000000.0,178219000000.0,,1837000000.0,,6993000000.0,1357000000.0,,,6919000000.0,18126000000.0,3030100000000.0,,,,,,,180205000000.0,,,,6674000000.0,7810000000.0,4283000000.0,,,,,,,,6192000000.0,,,,,60000000.0,157000000.0,10103000000.0,,,,,,,,,,,,,,2428583000000.0,1638000000.0,,2707000000.0,67830000000.0,2716894000000.0,,9620000000.0,,,,79939000000.0,-12390000000.0,5114000000.0,30008000000.0,169580000000.0,,281871000000.0,31335000000.0,313206000000.0,3030100000000.0,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:53:03
20250331,,47021000000.0,,,,,,660028000000.0,17158000000.0,,,,,,,,,,,,,,,,,,,,,,317000000.0,,,,,,22303000000.0,8851000000.0,60167000000.0,,1656089000000.0,151291000000.0,,,15000000.0,,6865000000.0,,,,,2984000000.0,19941000000.0,22925000000.0,180420000000.0,22000000.0,2770000000.0,,7105000000.0,1357000000.0,,,11029000000.0,17057000000.0,2917072000000.0,,,,,,,209158000000.0,,,,6609000000.0,7954000000.0,3474000000.0,,,,,,,,5336000000.0,,,,,85000000.0,101000000.0,10117000000.0,,,,,,,,,,,,,,2328947000000.0,2574000000.0,,2116000000.0,49876000000.0,2626665000000.0,,9620000000.0,,,,79939000000.0,-22395000000.0,5114000000.0,29967000000.0,161365000000.0,,263610000000.0,26797000000.0,290407000000.0,2917072000000.0,定期报告,未审计,20250426,CNY,合并期末,2025-04-25T18:45:06
20241231,,29357000000.0,,,,,,667199000000.0,10905000000.0,,,,,,,,,,,,,,,,,,,,,,129000000.0,,,,,,22520000000.0,8951000000.0,64844000000.0,,1607972000000.0,142014000000.0,,,26000000.0,,6851000000.0,34049000000.0,13769000000.0,20280000000.0,25000000.0,2489000000.0,20255000000.0,22744000000.0,173818000000.0,22000000.0,2921000000.0,,7347000000.0,1357000000.0,,,3464000000.0,16514000000.0,2834907000000.0,,,,,,,181695000000.0,,,,5942000000.0,10169000000.0,2480000000.0,,,,,,,,18044000000.0,,,,,96000000.0,,10286000000.0,,,,,,,,,,,,,,2229514000000.0,2722000000.0,,7362000000.0,47987000000.0,2516426000000.0,,9620000000.0,,,,79948000000.0,14917000000.0,5114000000.0,29928000000.0,151890000000.0,,291417000000.0,27064000000.0,318481000000.0,2834907000000.0,定期报告,是,20260327,CNY,合并期末,2025-04-25T18:45:06
20240930,,38122000000.0,,,,,,674142000000.0,21615000000.0,,,,,,,,,,,,,,,,,,,,,,842000000.0,,,,,,22752000000.0,11404000000.0,65934000000.0,,1446163000000.0,126832000000.0,,,15000000.0,,6711000000.0,,,,,2042000000.0,18138000000.0,20180000000.0,170585000000.0,,2852000000.0,,6671000000.0,1357000000.0,,,6924000000.0,18516000000.0,2684461000000.0,,,,,,,142453000000.0,,,,7293000000.0,8475000000.0,2820000000.0,,,,,,,,4852000000.0,,,,,26000000.0,,10194000000.0,,,,,,,,,,,,,,2155399000000.0,2632000000.0,,2186000000.0,47315000000.0,2384487000000.0,,9620000000.0,,,,79951000000.0,3454000000.0,5114000000.0,25576000000.0,149619000000.0,,273334000000.0,26640000000.0,299974000000.0,2684461000000.0,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T18:01:04
20240630,,42128000000.0,,,,,,647822000000.0,22397000000.0,,,,,,,,,,,,,,,,,,,,,,700000000.0,,,,,,23126000000.0,10379000000.0,67467000000.0,,1343839000000.0,121365000000.0,,,16000000.0,,7014000000.0,,,,,2851000000.0,18425000000.0,21276000000.0,170474000000.0,,2998000000.0,,7108000000.0,1357000000.0,,,5372000000.0,17255000000.0,2553488000000.0,,,,,,,97788000000.0,,,,6712000000.0,6609000000.0,3490000000.0,,,,,,,,5812000000.0,,,,,43000000.0,,10102000000.0,,,,,,,,,,,,,,2077445000000.0,2785000000.0,,1560000000.0,46786000000.0,2259832000000.0,,9620000000.0,,,,79946000000.0,10482000000.0,5114000000.0,25536000000.0,136612000000.0,,267310000000.0,26346000000.0,293656000000.0,2553488000000.0,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T20:31:04
20240331,,42723000000.0,,,,,,611910000000.0,14363000000.0,,,,,,,,,,,,,,,,,,,,,,436000000.0,,,,,,22973000000.0,10502000000.0,76318000000.0,,1298877000000.0,109610000000.0,,,17000000.0,,7017000000.0,,,,,2459000000.0,18674000000.0,21133000000.0,150483000000.0,,3136000000.0,,6881000000.0,1357000000.0,,,7479000000.0,15577000000.0,2441419000000.0,,,,,,,91974000000.0,,,,6798000000.0,6679000000.0,3730000000.0,,,,,,,,4756000000.0,,,,,36000000.0,,10117000000.0,,,,,,,,,,,,,,1998343000000.0,2901000000.0,,1402000000.0,37976000000.0,2165148000000.0,,9620000000.0,,,,79953000000.0,4523000000.0,5114000000.0,25498000000.0,133177000000.0,,257885000000.0,18386000000.0,276271000000.0,2441419000000.0,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T18:41:06
20231231,,31455000000.0,,,,,,581602000000.0,2808000000.0,,,,,,,,,,,,,,,,,,,,,,251000000.0,,,,,,23184000000.0,10667000000.0,82334000000.0,,1247435000000.0,97965000000.0,,,17000000.0,,7105000000.0,31281000000.0,12347000000.0,18934000000.0,9000000.0,2459000000.0,18925000000.0,21384000000.0,165501000000.0,335000000.0,3365000000.0,,7117000000.0,1357000000.0,,,7076000000.0,13501000000.0,2343962000000.0,,,,,,,115819000000.0,,,,5861000000.0,9247000000.0,3536000000.0,,,,,,,,17026000000.0,,,,,21000000.0,,10285000000.0,,,,,,,,,,,,,,1872620000000.0,3095000000.0,,1119000000.0,37378000000.0,2076258000000.0,,9620000000.0,,,,79950000000.0,7992000000.0,5114000000.0,25462000000.0,121448000000.0,,249586000000.0,18118000000.0,267704000000.0,2343962000000.0,定期报告,是,20250327,CNY,合并期末,2024-03-28T19:26:03
