报告日,资产,货币资金,客户资金存款,结算备付金,客户备付金,拆出资金,融出资金,融出证券,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收账款,应收票据,应收款项融资,预付账款,应收股利,应收利息,应收保证金,应收投资款项,其他应收款,存货净额,待转承销费用,衍生金融资产,可供出售金融资产,划分为持有待售的资产,长期股权投资,投资性房地产,债权投资,其他债权投资,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,固定资产净额,在建工程,固定资产清理,固定资产合计,合同资产,使用权资产,无形资产,商誉,开发支出,交易席位费,长期待摊费用,递延税款借项,其他长期资产,资产总计,负债,短期借款,质押借款,应付短期融资款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,应付票据及应付账款,应付账款,预收账款,应付职工薪酬,应交税金,应付股利,应付利息,其他应付款,代买卖证券款,代理承销证券款,代兑付证券款,信用交易代理买卖证券款,预提费用,预计负债,划分为持有待售的负债,长期递延收益,长期借款,应付债券款,应付债券：优先股,应付债券：永续债,长期应付职工薪酬,长期应付款,专项应付款,合同负债,租赁负债,递延税款贷项,其他负债,负债合计,股东权益,实收资本净额,其他权益工具,其中：优先股,其中：永续债,资本公积,库存股,其他综合收益,专项储备,盈余公积,一般风险准备,交易风险准备,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,250974567133.91,194053785905.45,94678774446.43,72651263362.21,,187176782006.7,,443762351196.95,22529104220.25,18232148265.98,18232148265.98,,,,,,58656806437.54,,,,,14597381613.13,,,23585718549.52,167009962.71,45071588202.1,36276847383.06,14808284497.99,,,,,,,3933025659.6,1883881486.95,,5816907146.55,,1067502858.78,2059352266.24,244664217.3,,,,1661438826.64,4038961401.2,1225406190632.98,,22926691471.1,,60139999111.11,17334659081.79,53121533398.18,23401089978.56,184734999190.31003,119485144761.48,119485144761.48,,12553047715.07,1524101237.96,,,,296151532309.93994,455864441.5,,,,696003381.02,,,166558164.73,217650077674.15,,,,,,275184924.14,1055956474.31,654028591.74,1606333999.72,1013932805906.81,,9026863786.0,33300000000.0,,33300000000.0,68839828757.42,7102000.0,621690197.18,,10854952309.27,28118654462.91,,60651848318.4,,211406735831.18,66648894.99,211473384726.17,1225406190632.98,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:38:03
20251231,,223337707129.8,175644151904.04,54440703032.35,46093939680.33,,186014824515.55,,379239859010.1,17609186442.68,12589542887.66,12589542887.66,,,,,,49391626569.53,,,,,11437029972.81,,,23332981200.31,178017754.64,44518307437.15,44815936099.65,14613478289.91,,,7622704886.95,3605297917.72,4017406969.23,,4017406969.23,1722199978.94,,5739606948.17,,1009943673.38,2135007398.2,249706675.3,,,,2413050501.56,4281040333.34,1077347555872.09,,21647664361.92,,60329377447.01,37134967294.7,36421918215.4,18224471792.48,148156521961.64,106136545617.72,106136545617.72,,11403392342.97,2052217155.69,,,,240910426138.33,59891927.31,,,,693794335.86,,,170902521.52,183091799381.39,,,,,,223153447.55,1012261298.19,668282129.23,2013764349.84,870351351718.7501,,9026863786.0,33300000000.0,,33300000000.0,68840011260.09,7102000.0,965966446.12,,10854952309.27,28086334567.82,,55872443341.66,,206939469710.96,56734442.38,206996204153.34,1077347555872.09,定期报告,是,20260430,CNY,合并期末,2026-03-30T16:58:04
20250930,,203709117318.24,164696391779.72,70156808863.62,53377040855.45,,169776321352.6,,361035253600.03,14565858049.79,10447719776.14,10447719776.14,,,,,,44135139518.42,,,,,11323666135.64,,,23265754582.21,181691411.11,45503497220.87,47641924007.99,10508987242.31,,,,,,,3955258241.26,1566097405.88,,5521355647.14,,1059083629.78,2134249647.26,252917708.24,,,,1845030713.32,2784649266.3,1025849025691.01,,14986370167.15,,61732724748.68,21290301603.18,37111863026.48,18814566309.03,162494510350.08,91577750490.75,91577750490.75,,13340156217.41,1182685644.52,,,,232632154313.55,47897832.66,,,,746107867.88,,,173669006.06,159764710763.2,,,,,,164670007.01,1050843164.1,774539419.17,2498167916.36,820383688847.27,,9026863786.0,33300000000.0,,33300000000.0,68837058139.86,7261000.0,2131458841.81,,9731901318.48,25565618869.73,,56823812608.78,,205409452564.66,55884279.08,205465336843.74,1025849025691.01,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:42:04
20250630,,188955861141.69,154925157518.53,36432296660.67,28559042666.5,,130984377197.39,,359137359945.48,18911884573.13,9406360441.58,9406360441.58,,,,,,38187830295.18,,,,,7215461716.67,,,21981496296.12,178844180.52,46041320424.36,21486100891.71,7394040795.44,,,7607767956.86,3561488981.12,4046278975.74,,4046278975.74,1437291399.02,,5483570374.76,,897694541.08,2130776150.0,263974320.63,,,,1661639278.94,3946070402.64,900696959627.9901,,16886195202.33,,27577436421.98,35415156225.33,40903656020.83,11827965889.29,155558332827.23,73841264578.96,73841264578.96,,12256513615.04,747685666.3,,,,204223510259.71,454119258.38,,,,746107867.88,,,183194889.79,112360463676.87,,,,,,126607367.45,903299825.69,624650774.48,5842204256.21,700478364623.75,,9027302281.0,33300000000.0,,33300000000.0,68836287726.27,10264690.75,1968097113.09,,9731901318.48,25534317500.6,,51746080416.82,,200133721665.51,84873338.73,200218595004.24,900696959627.9901,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T17:50:02
20250331,,163671991804.87003,131572019196.5,48408396753.08,35566544803.57,,133553473884.55,,311487591285.18005,12774346070.23,7164826507.83,7164826507.83,,,,,,35810147162.96,,,,,7467264927.11,,,22906888530.29,181144254.65,47508839192.74,17045289665.4,1964678720.85,,,,,,,4107955014.74,1336915592.44,,5444870607.18,,907828941.82,1988952304.08,51341567.3,,,,1404220416.98,3512171430.88,823254264027.98,,5504230795.25,,36476548617.67,24452272382.73,35679659592.19,11217426001.63,126757820225.41,69202272177.74,69202272177.74,,10933507376.4,505662823.55,,,,183893306407.94,1504191726.2,,,,746107867.88,,,,117925338870.61,,,,,,351513446.58,916272968.67,559445348.25,1311427867.31,627937004496.01,,9027302281.0,28300000000.0,,28300000000.0,68844965483.31,100544846.38,1645484585.43,,9731901318.48,25506902048.92,,52309829790.57,,195265840661.33,51418870.64,195317259531.97,823254264027.98,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T17:54:06
20241231,,177638989435.67,138117531828.51,43899794428.02,32763036946.58,,132546004899.02,,301746527264.7,15228400744.33,5587233036.26,5587233036.26,,,,,,33451298327.14,,,,,9991124734.25,,416839403.07,22237258686.68,182131297.14,47793721749.73,10135553141.78,125860048.27,,,7583638297.48,3367342958.8,4216295338.68,,4216295338.68,1275113965.76,,5491409304.44,,998002336.67,2035899489.21,51341567.3,,,,1591925843.28,3121177843.83,814270493580.79,,3362979630.04,,28852938891.71,30113661041.76,40448332443.95,10943785469.29,121048168372.16,72295695577.72,72295695577.72,,10705934525.9,524924504.99,,,,184586976441.87003,69649784.28,,,,746107867.88,75402113.91,,,115458817186.18,,,,,,104691566.99,1014614473.85,476548007.04,1547344966.24,622376572865.76,,9027302281.0,28300000000.0,,28300000000.0,68838074060.72,100544846.38,1702846660.6,,9727062043.66,25485037682.12,,48694124013.85,,191673901895.57,220018819.46,191893920715.03003,814270493580.79,定期报告,是,20260331,CNY,合并期末,2025-03-28T21:42:04
20240930,,215380048870.28,159621567895.81,22886722578.98,23098549120.99,,105351073613.48,,342630953335.21,10216305925.28,7980690322.36,7980690322.36,,,,,,39118707961.33,,,,,11538002015.83,,,21755632738.25,183535811.66,48503931339.12,9631487918.44,154220933.12,,,,,,,4220461811.2,1133938610.75,,5354400421.95,,1070771057.08,2162260163.95,51341567.3,,,,761019869.16,2726629543.03,847457735985.8099,,4819638028.42,,3766158901.54,32643340002.56,42344960765.96,16984973194.15,135868666341.29,97298979635.34,97298979635.34,,8939698641.76,916711484.12,,,,182711527853.7,51520527.59,,,,670784557.93,,,,128763429472.25,,,,,,334481483.47,1091983850.52,742971828.18,3676372421.61,661626198990.39,,9027302281.0,25700000000.0,,25700000000.0,68834286110.42,100544846.38,1017608143.85,,9317860566.4,24474792888.33,,47283723258.58,,185555028402.2,276508593.22,185831536995.42,847457735985.8099,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T19:32:02
20240630,,153421573986.44,110010874338.46,32023262895.23,26515598656.86,,103558947619.99,,364695912154.22,18046387158.08,6126879520.3,6126879520.3,,,,,,36111232875.0,,,,,16722486775.78,,,20793487049.69,132730252.69,48886502974.2,11426325315.01,157193951.94,,,7660392179.58,3289531067.8,4370861111.78,,4370861111.78,905572492.06,,5276433603.84,,1276995624.33,7684100999.53,3446915795.6,,,,761121332.16,4033141324.66,834581631208.6901,,5981885744.09,,16722439090.25,36138244983.61,47536223456.83,16096643826.37,134418683778.33,86006634319.3,86006634319.3,,10627455340.16,460026454.96,,,,151215298915.77,20967592.44,,,,570141512.35,,,,135362143597.55,,,,,,383769793.81,1364149284.48,1517067397.29,6731569188.5,651153344276.09,,9029384840.0,25700000000.0,,25700000000.0,68841521580.66,117982188.06,1414552033.77,,8837986376.65,23498776233.04,,42883098295.22,,180087337171.28,3340949761.32,183428286932.6,834581631208.6901,定期报告,未审计,20240831,CNY,合并期末,2024-08-30T21:27:03
20240331,,158729244305.78,102367177978.56,43660968834.04,29425724166.59,,104915435034.42,,371397006504.05,12282204037.89,6488510718.08,6488510718.08,,,,,,36633602096.5,,,,,18053310550.18,,,20706922871.52,134507002.32,50250625196.94,17075387163.85,137369715.8,,,,,,,4466696628.35,707543632.24,,5174240260.59,,1384580394.51,7369364609.73,3594826288.55,,,,696000032.91,3938514377.29,862622619994.9501,,4892511555.41,,17901027226.44,14573089210.07,54585430088.02,17739912141.09,156530618858.33,94013037983.8,94013037983.8,,10448323971.05,738238975.51,,,,143910490660.04,30725619.14,,,,570141512.35,,,649874441.79,155404112214.6,,,,,,335751757.72,1470308987.98,2233382707.29,1873953724.33,677900931634.96,,9029384840.0,25700000000.0,,25700000000.0,68851411817.81,228371457.6,1138509207.27,,8838000626.66,23478316562.68,,44701940373.4,,181509191970.22,3212496389.77,184721688359.99,862622619994.9501,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T19:52:04
20231231,,150319561572.68997,104023195752.98,42316365832.66,33187099439.86,,112341094150.39,,413459996784.64,12460231501.48,9743761158.76,9743761158.76,,,,,,40544278245.33,,,,,16259881412.31,,,20414818640.78,136283750.86,50116811798.86,16262000063.29,124506372.56,,,7612178465.31,3026510677.56,4585667787.75,,4585667787.75,565790169.19,,5151457956.94,,1368252047.89,7515259736.89,3419331528.3,,,,702722219.74,2851773820.27,905508388594.64,,11478572689.16,,25475506795.41,39536526852.14,52671165393.58,16881641313.58,144056149301.99,110286900865.59,110286900865.59,,10583219102.35,661931229.32,,,,144701359504.39,228430890.93,,,,570141512.35,,,647052227.31,159816000755.03003,,,,,,177500407.89,1468160589.2,1960663433.32,2090033762.29,723290956625.8301,,9074663335.0,25700000000.0,,25700000000.0,69602190451.81,1064172886.7,1068621213.99,,8838000626.66,23458333594.96,,42430730519.76,,179108366855.48,3109065113.33,182217431968.81,905508388594.64,定期报告,是,20250329,CNY,合并期末,2024-03-28T19:02:02
