报告日,经营活动产生的现金流量,收到原保险合同保费取得的现金,再保险业务产生的现金流入,保户储金及投资款净增加额,客户存款和同业存入款项净增加,买入返售业务资金净减少额,卖出回购金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,处置交易性金融资产净增加额,保证金现金流入,收到的现金资产管理费收入,收到税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,支付原保险合同赔付款项的现金,支付再保业务产生的现金流出,支付保单红利的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,客户存款和同业存入款项净减少额,保户储金及投资款净减少额,拆入资金净减少额,卖出回购金融资产净减少额,买入返售业务资金净增加额,为交易目的而持有的金融资产净增加额,支付利息、手续费及佣金的现金,支付给职工以及为职工支付的现金,拆出资金净增加额,处置交易性金融资产的净减少额,保证金现金流出,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金,买入返售金融资产收到的现金,收到的其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,购买子公司及其他营业单位支付的现金净额,保户质押贷款净增加额,买入返售金融资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,卖出回购金融资产收到的现金,取得借款收到的现金,发行债券收到的现金,收到的其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,回购金融资产支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利,支付的其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加(减少)额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,76859000000.0,143000000.0,,,,,,,,,,,587000000.0,78482000000.0,32761000000.0,,,,,,,,,,,5497000000.0,2164000000.0,,,,1209000000.0,540000000.0,42171000000.0,36311000000.0,,370418000000.0,11145000000.0,,,3470000000.0,,385213000000.0,348781000000.0,205000000.0,,,,331000000.0,349345000000.0,35868000000.0,,15494000000.0,,,,,17894000000.0,,83672000000.0,494000000.0,255000000.0,,96714000000.0,-78820000000.0,-121000000.0,-6762000000.0,,,,,42898000000.0,36136000000.0,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T17:32:03
20251231,,222055000000.0,,,,,,,,,,,,1406000000.0,224334000000.0,86505000000.0,194000000.0,,,,,,,,,,11792000000.0,8594000000.0,,,,2878000000.0,3455000000.0,113418000000.0,110916000000.0,,768609000000.0,47263000000.0,9000000.0,,,,821292000000.0,923819000000.0,1482000000.0,,,5219000000.0,888000000.0,931408000000.0,-110116000000.0,,18472000000.0,18968000000.0,,,,51760000000.0,,,12079000000.0,71000000.0,,48021000000.0,3739000000.0,-73000000.0,4466000000.0,42898000000.0,38432000000.0,,,38432000000.0,42898000000.0,定期报告,是,20260328,CNY,合并期末,2026-03-27T20:00:18
20250930,,179995000000.0,,,,,,,,,,,,1393000000.0,182743000000.0,71195000000.0,13000000.0,,,,,,,,,,10161000000.0,6036000000.0,,,,2265000000.0,2899000000.0,92569000000.0,90174000000.0,,592057000000.0,34415000000.0,8000000.0,1175000000.0,,,631755000000.0,686288000000.0,790000000.0,,,1737000000.0,827000000.0,689642000000.0,-57887000000.0,,16838000000.0,,,,,28758000000.0,10000000000.0,30786000000.0,7441000000.0,2000000.0,,70672000000.0,-41914000000.0,-68000000.0,-9695000000.0,,,,,38432000000.0,28737000000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:26:03
20250630,,121652000000.0,73000000.0,,,,,,,,,,,1102000000.0,124165000000.0,52164000000.0,,,,,,,,,,,6863000000.0,3587000000.0,,,,874000000.0,1958000000.0,65446000000.0,58719000000.0,,383054000000.0,24313000000.0,6000000.0,1313000000.0,3701000000.0,,416487000000.0,437235000000.0,413000000.0,,,,564000000.0,438212000000.0,-21725000000.0,,11233000000.0,,,,,16753000000.0,,36214000000.0,563000000.0,2000000.0,,59603000000.0,-42850000000.0,-21000000.0,-5877000000.0,32555000000.0,38432000000.0,,,38432000000.0,32555000000.0,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:10:03
20250331,,71039000000.0,224000000.0,,,,,,,,,,,621000000.0,72710000000.0,31605000000.0,,,,,,,,,,,4123000000.0,1935000000.0,,,,543000000.0,916000000.0,39122000000.0,33588000000.0,,185741000000.0,8489000000.0,5000000.0,,6698000000.0,,203951000000.0,228706000000.0,144000000.0,,,,367000000.0,229217000000.0,-25266000000.0,,4427000000.0,,,,,9947000000.0,,6294000000.0,437000000.0,3000000.0,,15032000000.0,-5085000000.0,-25000000.0,3212000000.0,,,,,38432000000.0,41644000000.0,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T18:18:03
20241231,,192826000000.0,,,,,,,,,,,,1748000000.0,194872000000.0,76778000000.0,267000000.0,,,,,,,,,,9340000000.0,7652000000.0,,,,1137000000.0,3408000000.0,98582000000.0,96290000000.0,,609662000000.0,42893000000.0,11000000.0,169000000.0,,,653612000000.0,790420000000.0,1100000000.0,,,2847000000.0,1016000000.0,795383000000.0,-141771000000.0,,7834000000.0,67011000000.0,,10000000000.0,,84845000000.0,,,5129000000.0,430000000.0,,22816000000.0,62029000000.0,96000000.0,16644000000.0,38432000000.0,21788000000.0,,,21788000000.0,38432000000.0,定期报告,是,20260328,CNY,合并期末,2025-03-27T19:42:02
20240930,,156827000000.0,,,,,,,,,,,,1285000000.0,158928000000.0,52604000000.0,66000000.0,,,,,,,,,,7944000000.0,5881000000.0,,,,591000000.0,3054000000.0,70140000000.0,88788000000.0,,403385000000.0,25536000000.0,3000000.0,,195000000.0,,429873000000.0,596164000000.0,721000000.0,,,,275000000.0,597230000000.0,-167357000000.0,,4929000000.0,86048000000.0,,10000000000.0,,100977000000.0,,,3106000000.0,38000000.0,,20800000000.0,80177000000.0,51000000.0,1659000000.0,,,,,21788000000.0,23447000000.0,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T18:17:03
20240630,,105008000000.0,58000000.0,,,,,,,,,,,1028000000.0,106850000000.0,34729000000.0,,,,,,,,,,,4791000000.0,4109000000.0,,,,522000000.0,1592000000.0,45743000000.0,61107000000.0,,273692000000.0,17903000000.0,1000000.0,,,,291868000000.0,318058000000.0,732000000.0,,,4818000000.0,279000000.0,323887000000.0,-32019000000.0,,991000000.0,,,10000000000.0,,10991000000.0,,27012000000.0,401000000.0,38000000.0,,35952000000.0,-24961000000.0,76000000.0,4203000000.0,25991000000.0,21788000000.0,,,21788000000.0,25991000000.0,定期报告,未审计,20250829,CNY,合并期末,2024-08-29T21:07:14
20240331,,60623000000.0,185000000.0,,,,,,,,,,,531000000.0,61713000000.0,18439000000.0,,,,,,,,,,,2683000000.0,1746000000.0,,,,230000000.0,957000000.0,24055000000.0,37658000000.0,,131000000000.0,6325000000.0,17000000.0,4116000000.0,3605000000.0,,145063000000.0,136285000000.0,423000000.0,,,,93000000.0,136801000000.0,8262000000.0,,805000000.0,,,,,805000000.0,8365000000.0,30885000000.0,163000000.0,145000000.0,,43244000000.0,-42439000000.0,86000000.0,3567000000.0,,,,,21788000000.0,25355000000.0,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T20:07:03
20231231,,182708000000.0,487000000.0,,,,,,,,,,,2218000000.0,186127000000.0,71900000000.0,,,,,,,,,,,10763000000.0,7873000000.0,,,,838000000.0,3205000000.0,94579000000.0,91548000000.0,,508379000000.0,39756000000.0,29000000.0,6978000000.0,3363000000.0,,562111000000.0,716103000000.0,2090000000.0,,,,567000000.0,718760000000.0,-156649000000.0,,23917000000.0,60846000000.0,,10000000000.0,,101203000000.0,,,4227000000.0,472000000.0,,31917000000.0,69286000000.0,17000000.0,4202000000.0,21788000000.0,17586000000.0,,,17586000000.0,21788000000.0,定期报告,是,20250328,CNY,合并期末,2024-03-27T21:12:02
