报告日,经营活动产生的现金流量,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,拆出资金净减少额,融出资金净减少额,卖出回购金融资产收到的现金,证券投资收到的现金,买入返售金融资产收到的现金,代理买卖业务的现金净增加额,代理兑付证券净增加额,代理承销证券收到的现金净额,保证金现金流入,收到的资产管理业务,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,处置交易性金融资产的净减少额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,偿还拆入资金支付的现金,拆出资金净增加额,融出资金净增加额,回购金融资产支付的现金,买入返售金融资产支付的现金,证券投资支付的现金,代理买卖证券净减少额,代兑付债券支付的现金净额,保证金现金流出,为交易目的而持有的金融资产净增加额,以现金支付的营业费用,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产及其他长期资产收回的现金净额,处置子公司和其他营业单位收到的现金,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,吸收权益性投资所收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,1669646410.79,,,389027628.42,17176189945.3,,,13266653175.93,,,,,,,1959211529.84,34460728690.28,,,340107950.6,6010528136.39,,,,,,,,,10749002867.85,,,1468712765.86,220474436.31,10149585238.71,28938411395.72,5522317294.56,,456902486.26,69463488.28,233034.16,,,526599008.7,113964111.32,79542556.59,,,193506667.91,333092340.79,,42642.29,,,,7092417727.39,,7092460369.68,5637735907.26,358547540.07,,30946534.77,6080969826.56,1011490543.12,-2370096.66,6864530081.81,,,,,57603014658.8,64467544740.61,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T18:10:03
20251231,,,,7278336392.11,5102000000.0,,,2322588380.27,,,8139591398.4,,,,,,,426074786.96,23268590957.74,,,2012433105.05,,,6771408083.65,,,,,,,5844951097.38,,,3434985033.59,998965978.03,9651340481.38,28714083779.08,-5445492821.34,,10197284211.44,672105190.01,47791795.87,,22274778919.89,33191960117.21,7626048635.21,300976885.69,,,7927025520.9,25264934596.31,,1970895307.9,,,,21399696750.0,,23370592057.9,12778486192.0,1234225145.43,,219008126.36,14437696185.86,8932895872.04,-3323633.85,28749014013.16,45206570907.79,19716443355.04,12396443751.01,9137557290.6,28854000645.64,57603014658.8,定期报告,是,20260328,CNY,合并期末,2026-03-27T20:10:06
20250930,,,,5282483309.14,179000000.0,,,8007837328.78,,,4510597289.73,,,,,,,714832783.28,18694750710.93,,,1437320233.77,,,5331035062.61,,,,,,,3307226053.05,,,2696133525.08,799657454.22,7053131128.45,20624503457.18,-1929752746.25,,8213737306.41,966284582.34,39559026.23,,22274778919.89,31494359834.87,7525515532.06,156298044.37,,,7681813576.43,23812546258.44,,1970895307.9,,,,10894560000.0,,12865455307.9,10106488100.08,1025669348.78,,47767786.36,11310997295.68,1554458012.22,-5737188.56,23431514335.85,,,,,28854000645.64,52285514981.49,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:02:04
20250630,,,,3333661300.43,,,,12482250926.51,,,2293126568.39,,,,,,,312302934.33,18421341729.66,,,931691019.27,2160164978.48,,435720111.64,,,,,,,7460843225.16,,,2046625857.44,486282302.2,4400746348.43,17922073842.62,499267887.04,,4908556009.43,234607364.03,6669059.53,,22274778919.89,27424611352.88,7354725925.79,97341511.25,,,7452067437.04,19972543915.84,,1970895307.9,,,,5626187000.0,,7597082307.9,7710183900.0,558692250.93,,47767786.36,8402443086.08,-805360778.18,-2386441.11,19664064583.59,39504835577.91,19716443355.04,9013229651.32,9137557290.6,28854000645.64,48518065229.23,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:22:03
20250331,,838630690.74,,1482994244.88,,,,8582571463.39,,,,,,,,,,445764218.36,11349960617.37,,,487584855.76,3161299927.45,,917653654.75,,,,1264838008.52,,,,,,1353459694.68,170280369.35,3265088144.45,10620204654.96,729755962.41,,2600843016.84,92312569.18,841394.92,,18770232289.2,21464229270.14,5721498555.04,45309022.24,,,5766807577.28,15697421692.86,,1984999995.11,,,,4571889500.0,78085.3,6556967580.41,5348854063.82,438085096.02,,,5831513691.28,725453889.13,-5203166.6,17147428377.8,,,,,28854000645.64,46001429023.44,定期报告,未审计,20260428,CNY,合并期末,2025-04-29T17:54:03
20241231,,2480524762.22,,3314864585.44,4657000000.0,,,2945841227.11,,,5519068562.22,,,,,,,2167641422.44,21084940559.43,,,784105294.79,,,1516793549.19,,,,,,,,,,1598397373.14,175239099.75,2953395153.4,7027930470.27,14057010089.16,,10082194490.43,472888017.24,43893.66,,,10555126401.33,9036867398.73,144487204.24,,,9181354602.97,1373771798.36,,,,,,11633033792.0,,11633033792.0,12466992398.0,1288119645.93,,,13894556984.01,-2261523192.01,-1653123.33,13167605572.18,19716443355.04,11715093688.46,9137557290.6,3971301385.0,15686395073.46,28854000645.64,定期报告,是,20260328,CNY,合并期末,2025-03-26T20:27:03
20240930,,,,2306973324.77,3597000000.0,,1278888605.64,7206887327.4,,,4041529063.05,,,,,,,2520461360.54,20951739681.4,,,531802195.17,,,,,,,,,,4337458150.65,,,1228677177.3,109224115.14,1767284816.82,7974446455.08,12977293226.32,,5607158274.2,416937505.58,202459.36,,,6024298239.14,3735873441.88,104303516.56,,,3840176958.44,2184121280.7,,,,,,7448758000.0,,7448758000.0,7502371398.0,1055654792.45,,,8657376564.39,-1208618564.39,-2540547.65,13950255394.98,,,,,15686395073.46,29636650468.44,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T18:22:03
20240630,,,,1486839813.08,1927000000.0,,1484540813.38,1715059172.45,,,165073877.67,,,,,,,1741263564.23,8519777240.81,,,363558187.64,,,0.0,,,,0.0,,,134763665.22,,,939959927.56,89376610.66,624495027.71,2152153418.79,6367623822.02,,4501485730.53,98856087.14,20174.0,,,4600361991.67,2988197894.36,72310360.5,0.0,,3060508254.86,1539853736.81,,,,,,6797151500.0,,6797151500.0,5329369000.0,470462020.36,,,5864165439.21,932986060.79,848822.61,8841312442.23,16778836923.69,11715093688.46,7748870592.0,3971301385.0,15686395073.46,24527707515.69,定期报告,未审计,20250829,CNY,合并期末,2024-08-30T19:02:02
20240331,,,,713497105.29,,,396082901.99,8057804602.69,,,,,,,,,,2211659117.29,11379043727.26,,,184300713.01,3273000000.0,,,,,,4636338.69,,,6842905431.15,,,531676469.6,48712373.32,1512698582.55,12397929908.32,-1018886181.06,,3365767323.0,57994515.7,5661929.97,,,3429423768.67,745718031.44,38133612.35,,,783851643.79,2645572124.88,,,,,,3191350000.0,,3191350000.0,1740430000.0,234561148.79,,36866370.69,2011857519.48,1179492480.52,90686.95,2806269111.29,,,,,15686395073.46,18492664184.75,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T19:22:03
20231231,,,,3077700278.69,4413000000.0,,,268905037.85,,,,,,,,,,4125355341.68,11884960658.22,,,826176783.8,,,1257080691.1,,,,1751182181.2,,,5588509670.07,,,1404047800.31,208024599.63,1563921378.97,12598943105.08,-713982446.86,,13025927927.23,587884157.06,92741067.24,,,13706553151.53,12200070344.36,198542354.91,2212761441.46,,14611374140.73,-904820989.2,,,,,,19171935135.81,,19171935135.81,14567201400.0,763422703.55,,,15451184340.45,3720750795.36,1302881.09,2103250240.39,11715093688.46,12483512833.07,3971301385.0,1099632000.0,13583144833.07,15686395073.46,定期报告,是,20250327,CNY,合并期末,2024-03-26T17:47:02
