报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,402597828.82,,,,,,,,,,,,191573713.8,594171542.62,1321970627.06,,,,,,258525742.24,3095546.09,255707697.02,1839299612.41,-1245128069.79,,1040000000.0,17839461.93,,,,,,1057839461.93,22275421.15,2457842435.46,,,,32157564.54,2512275421.15,-1454435959.22,,,,,,,0.0,,,,54029249.5,54029249.5,-54029249.5,-13824.89,-2753607103.4,3654718555.9,,,,,901111452.5,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T21:24:05
20251231,,3501068858.51,,,,,,,,,,,,165196309.57,3666265168.08,3351870704.78,,,,,,707851136.43,246421853.47,937508615.12,5243652309.8,-1577387141.72,,29045000000.0,155994391.24,,,1115000000.0,,,30315994391.24,166710217.21,28665000000.0,,,,1021703700.0,29853413917.21,462580474.03,,,,,,,0.0,,,,5971700.12,5971700.12,-5971700.12,220628.6,-1120557739.21,4775276295.11,3654718555.9,4775276295.11,,,3654718555.9,定期报告,是,20260421,CNY,合并期末,2026-04-20T20:52:12
20250930,,1752981612.34,,,,,,,,,,,,147172695.14,1900154307.48,2139037879.12,,,,,,538235221.16,128107579.09,647059521.45,3452440200.82,-1552285893.34,,18315000000.0,82905387.03,,,1115000000.0,,,19512905387.03,154593638.61,20385000000.0,,,,1000000000.0,21539593638.61,-2026688251.58,,,,,,,0.0,,,,290780.35,290780.35,-290780.35,203489.95,-3579061435.32,4775276295.11,,,,,1196214859.79,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T21:32:16
20250630,,780224207.9,,,,,,,,,,,,125910330.1,906134538.0,1662820045.8,,,,,,374547115.6,117331092.67,359241019.64,2513939273.71,-1607804735.71,,14295000000.0,74995097.99,,,1115000000.0,,,15484995097.99,-17106722.92,16265000000.0,,,,1000000000.0,17247893277.08,-1762898179.09,,,,,,,0.0,,,,290780.35,290780.35,-290780.35,181512.0,-3370812183.15,4775276295.11,1404464111.96,4775276295.11,,,1404464111.96,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T18:16:15
20250331,,404819026.31,,,,,,,,,,,,3251210.23,408070236.54,870672922.05,,,,,,210866407.86,18408486.12,118844154.13,1218791970.16,-810721733.62,,4955000000.0,7705369.73,,,115000000.0,,,5077705369.73,-47133894.03,6175000000.0,,,,1000000000.0,7127866105.97,-2050160736.24,,,,,,,0.0,,,,,0.0,0.0,158984.86,-2860723485.0,4775276295.11,,,,,1914552810.11,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T20:56:07
20241231,,3424654579.4,,,,,,,,,,,199984927.71,267039365.44,3891678872.55,7102834252.21,,,,,,1122818681.98,886330316.32,165772775.3,9277756025.81,-5386077153.26,,19367123570.0,110109649.3,,,,,,19477233219.3,527204925.66,27287123570.0,,,,125482098.12,27939810593.78,-8462577374.48,,7766900.82,,,,,7766900.82,,893306029.02,,54953914.86,948259943.88,-940493043.06,220752.13,-14788926818.67,19564203113.78,4775276295.11,19564203113.78,,,4775276295.11,定期报告,是,20260421,CNY,合并期末,2025-04-29T20:50:17
20240930,,2685693627.93,,,,,,,,,,,199602791.45,213824182.55,3099120601.93,5644573911.95,,,,,,921233809.77,813849352.62,120651097.66,7500308172.0,-4401187570.07,,9342760000.0,103342886.61,,,,,,9446102886.61,742142009.52,19384501540.5,,,,,20126643550.02,-10680540663.41,,,,,,,0.0,,898426327.54,,54953914.86,953380242.4,-953380242.4,-135413.05,-16035243888.93,19564203113.78,,,,,3528959224.85,定期报告,未审计,20251028,CNY,合并期末,2024-10-30T18:20:10
20240630,,1708867474.43,,,,,,,,,,,142841776.38,210301097.71,2062010348.52,3975912768.31,,,,,,694628386.22,792442102.74,64341436.62,5527324693.89,-3465314345.37,,,40931757.52,,,,,,40931757.52,589851890.01,9911501540.5,,,,,10501353430.51,-10460421672.99,,,,,,,0.0,,896550171.51,,15118885.04,911669056.55,-911669056.55,-218332.53,-14837623407.44,19564203113.78,4726579706.34,19564203113.78,,,4726579706.34,定期报告,未审计,20250827,CNY,合并期末,2024-08-26T19:25:05
20240331,,809103043.36,,,,,,,,,,,91393187.2,107799623.43,1008295853.99,1552689518.67,,,,,,444793912.79,589925403.84,88915238.38,2676324073.68,-1668028219.69,,,,,,,,,0.0,548307632.91,,,,,,548307632.91,-548307632.91,,,,,,,0.0,,1326916.88,,8124513.4,9451430.28,-9451430.28,-254081.13,-2226041364.0,19564203113.78,,,,,17338161749.78,定期报告,未审计,20250501,CNY,合并期末,2024-04-29T18:55:04
20231231,,18673854170.35,,,,,,,,,,,98784563.52,1023487237.13,19796125971.0,6724444939.41,,,,,,913488548.46,3267520315.08,149322537.39,11054776340.34,8741349630.66,,,,137685.17,,466293545.05,,,466431230.22,5219244413.01,,,,,337215467.37,5556459880.38,-5090028650.16,,221720100.0,,,,,221720100.0,,7707891748.79,,259925693.03,7967817441.82,-7746097341.82,-11211.6,-4094787572.92,23658990686.7,19564203113.78,23658990686.7,,,19564203113.78,定期报告,是,20250430,CNY,合并期末,2024-03-29T20:35:06
20230930,,16509298960.77,,,,,,,,,,,76127207.18,592269604.58,17177695772.53,3359991585.8,,,,,,662070439.44,3004616622.8,50490502.83,7077169150.87,10100526621.66,,,,135295.78,,161075984.9,,,161211280.68,5695401655.14,,,,,36985520.7,5732387175.84,-5571175895.16,,221720100.0,,,,,221720100.0,,7705813718.53,,50228297.35,7756042015.88,-7534321915.88,0.24,-3004971189.14,23658990686.7,,,,,20654019497.56,定期报告,未审计,20241031,CNY,合并期末,2023-10-28T09:25:03
20230630,,10767280233.93,,,,,,,,,,,76127207.18,263529222.28,11106936663.39,2571248922.72,,,,,,456083645.55,2639688868.23,31498453.62,5698519890.12,5408416773.27,,,,135295.78,,161075984.9,,,161211280.68,2921398852.07,,,,,36985520.7,2958384372.77,-2797173092.09,,,,,,,0.0,,7699149622.53,,,7699149622.53,-7699149622.53,,-5087905941.35,23658990686.7,18571084745.35,23658990686.7,,,18571084745.35,定期报告,未审计,20240827,CNY,合并期末,2023-08-03T18:10:04
