报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,2915160677.12,2915160677.12,,,,,,1646882172.8,911255335.47,,,,,,,,,56772956.91,17330800.74,482052722.6,164340121.29,15130235.79,25790397.04,,580896592.26,-925384.74,,,,-119930860.13,,,,122430112.81,3783443.26,15842116.23,,348289.52,1871648198.27,631496.81,,1923220.44,,1870356474.64,85945619.52,,1784410855.12,1784410855.12,,1789555599.73,,-5144744.61,-34873118.51,-28586863.91,3115979.94,66987.03,,3048992.91,,-31702843.85,,,,,,,,,-31702843.85,,-6286254.6,1749537736.61,1760968735.82,-11430999.21,0.1239,0.1239,定期报告,未审计,20260429,CNY,合并期末,2026-04-29T01:00:06
20251231,12758696542.16,12758696542.16,,,,,,7053418574.0,3765853344.17,,,,,,,,,256745996.89,53143884.48,2423506017.24,554288552.49,-119221.27,110278608.26,,207514023.46,55665700.33,,,,-165758137.89,,,,309036083.58,-2148124928.59,-18706921.39,,3173947.73,3892412035.06,8313019.49,,10992294.24,,3889732760.31,969718130.9,,2920014629.41,2920014629.41,,2946332500.88,,-26317871.47,-204365544.59,-203460410.89,-175173191.38,1474740.54,,-176647931.92,,-28287219.51,,,,,,,,,-28287219.51,,-905133.7,2715649084.82,2742872089.99,-27223005.17,0.204,0.204,定期报告,是,20260429,CNY,合并期末,2026-04-29T00:56:03
20250930,9606726617.75,9606726617.75,,,,,,5298660078.82,2843524432.92,,,,,,,,,192804151.03,41772965.9,1820135842.8,411856939.39,-11434253.22,86124582.26,,479287291.41,430369424.45,,,,-7337745.91,,,,267629769.52,-18292824.49,-20279316.22,,1636995.85,5010710709.09,6894144.98,,9491295.83,,5008113558.24,781523659.51,,4226589898.73,4226589898.73,,4240475945.45,,-13886046.72,1156261.17,-1547089.43,9069770.41,855732.51,,8214037.9,,-10616859.84,,,,,,,,,-10616859.84,,2703350.6,4227746159.9,4238928856.02,-11182696.12,0.2936,0.2936,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T18:52:25
20250630,6112356705.1,6112356705.1,,,,,,3506249829.0,1938335238.62,,,,,,,,,121879286.04,27699907.83,1161392324.68,265568088.01,-8625016.18,58480052.96,,375109099.24,345675641.36,,,,-6325254.67,,,,236424103.66,-2712660.26,-40778732.97,,451502.86,3168274933.96,5340513.74,,3788051.06,,3169827396.64,519657349.62,,2650170047.02,2650170047.02,,2664779621.19,,-14609574.17,16834289.25,10793933.65,6512155.26,690893.82,,5821261.44,,4281778.39,,,,,,,,,4281778.39,,6040355.6,2667004336.27,2675573554.84,-8569218.57,0.1845,0.1845,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T20:08:06
20250331,2857740968.87,2857740968.87,,,,,,1756228915.55,1008629735.25,,,,,,,,,56456910.04,15230511.21,536598976.74,143250974.6,-3938192.29,29526448.66,,145784439.81,128911875.87,,,,19370643.85,,,,154716956.62,306185.86,-51856970.57,,-1372163.45,1368461145.44,3856582.42,,1356793.0,,1370960934.86,239997230.91,,1130963703.95,1130963703.95,,1135173105.64,,-4209401.69,-470619.65,1060750.07,281512.32,,,281512.32,,779237.75,,,,,,,,,779237.75,,-1531369.72,1130493084.3,1136233855.71,-5740771.41,0.0786,0.0786,定期报告,未审计,20260429,CNY,合并期末,2025-04-28T20:26:07
20241231,12262102807.88,12262102807.88,,,,,,7182957152.13,4136938836.74,,,,,,,,,245025908.94,50204661.02,2267557609.14,501304862.47,-18074726.18,135839562.73,,706613572.79,498359873.04,,,,-96800269.43,,,,488887104.59,-10181416.56,-130765540.28,,4078523.04,6040977629.9,8895386.4,,11658061.37,,6038214954.93,966607523.39,,5071607431.54,5071607431.54,,5155394136.42,,-83786704.88,19536340.68,26589512.81,20686017.87,-560211.16,,21246229.03,,5903494.94,,,,,,,,,5903494.94,,-7053172.13,5091143772.22,5181983649.23,-90839877.01,0.357,0.357,定期报告,是,20260429,CNY,合并期末,2025-04-28T20:26:07
20240930,9261434593.06,9261434593.06,,,,,,5424375741.04,3128553241.06,,,,,,,,,186216923.41,40716509.07,1729495340.03,357599055.57,-18205328.1,104865314.04,,587403505.05,383314883.66,,,,-60890307.83,,,,366989529.06,-16742667.81,-99181015.12,,3852699.0,4618490594.37,9060620.13,,8737356.02,,4618813858.48,714678809.97,,3904135048.51,3904135048.51,,3968063820.02,,-63928771.51,-22587610.55,-22616593.34,-7042806.86,,,-7042806.86,,-15573786.48,,,,,,,,,-15573786.48,,28982.79,3881547437.96,3945447226.68,-63899788.72,0.2748,0.2748,定期报告,未审计,20251030,CNY,合并期末,2024-10-28T19:27:03
20240630,5967271387.91,5967271387.91,,,,,,3538305518.73,2080522174.37,,,,,,,,,118595874.78,28838355.95,1103904479.99,225476625.73,-19031992.09,70558647.45,,343546038.88,167047580.14,,,,-73459956.28,,,,240594945.11,-11337156.27,-10478737.71,,2449743.22,2920280746.13,2410153.11,,1848972.46,,2920841926.78,468152199.46,,2452689727.32,2452689727.32,,2493427829.2,,-40738101.88,-20627770.83,-14508093.39,-13356058.42,0.0,,-13356058.42,,-1152034.97,,,,,,,,,-1152034.97,,-6119677.44,2432061956.49,2478919735.81,-46857779.32,0.1726,0.1726,定期报告,未审计,20250830,CNY,合并期末,2024-08-08T18:32:04
20240331,2729531149.19,2729531149.19,,,,,,1698408555.37,1045599771.28,,,,,,,,,53377370.55,16583464.61,480719865.05,110811717.12,-8683633.24,34931533.56,,70726517.14,36643650.01,,,,-17935660.15,,,,103241887.06,-3801642.57,31426666.04,,-1071315.21,1213709046.13,157189.51,,223263.48,,1213642972.16,200153248.86,,1013489723.3,1013489723.3,,1040063504.6,,-26573781.3,-7302205.05,-2644721.75,941429.44,,,941429.44,,-3586151.19,,,,,,,,,-3586151.19,,-4657483.3,1006187518.25,1037418782.85,-31231264.6,0.072,0.072,定期报告,未审计,20250429,CNY,合并期末,2024-04-29T21:27:04
20231231,11903724918.98,11903724918.98,,,,,,6980347772.8,4109241760.63,,,,,,,,,235861505.44,61855535.44,2203398051.69,442922876.07,-72931956.47,129262578.5,,411128957.44,278633889.16,,,,-4337084.25,,,,455755475.51,-38683604.22,47575426.44,,-3292390.4,5791523926.7,10411802.69,,8855885.1,,5793079844.29,993463126.29,,4799616718.0,4799616718.0,,4827101718.5,,-27485000.5,-41262096.15,-44729332.67,-61984182.12,-682597.58,,-61301584.54,,17254849.45,,,,,,,,,17254849.45,,3467236.52,4758354621.85,4782372385.83,-24017763.98,0.3342,0.3342,定期报告,是,20250429,CNY,合并期末,2024-04-29T21:32:03
