报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,1092236559.89,471974602.86,295442019.18,5494445.34,74367727.2,,,,128732008.25,469779253.6,341047245.35,421936064.73,,,,65681845.67,-655570.04,723398.46,533368.23,3310841.73,549227555.96,7202925.62,552602176.67,,-12076017.8,,,1498471.47,543009003.93,11266.96,,80215.04,,542940055.85,86006580.75,456933475.1,456933475.1,,452339231.37,4594243.73,,,678215353.96,679844885.2,688285332.33,,,688285332.33,,-8440447.13,,,15546009.12,,-5725441.59,,,,-18261014.66,,-1629531.24,1135148829.06,1132184116.57,2964712.49,0.12,0.12,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:34:15
20251231,4043872800.63,1789166562.83,1060849354.87,137773398.43,141764340.06,,,,415642099.74,1738373055.02,1322730955.28,2114650262.14,15436761.97,,,-341982003.31,13520012.31,5730320.76,-253023.34,47398569.5,1880114795.5,26860519.69,1716025431.35,,137228844.46,,,,2163758005.13,180235.5,,69092667.03,,2094845573.6,143504103.73,1951341469.87,1951341469.87,,1893704022.18,57637447.69,7473897386.94,,269809014.24,263308339.32,592627357.35,,,592627357.35,,-329319018.03,2090328.28,,-272551533.72,,-24539231.29,,,,-34318581.3,,6500674.92,2221150484.11,2157012361.5,64138122.61,0.54,0.54,定期报告,是,20260331,CNY,合并期末,2026-03-30T19:38:32
20250930,3018835565.51,1299438597.98,774222819.26,84456607.36,126461618.71,,,,303031361.98,1242895278.82,939863916.84,1723480143.56,12869337.31,,,-332146776.68,6858845.26,3299954.41,-98036.17,14971475.17,1600969041.09,19719347.57,1619516111.92,,-41542668.25,,,3276249.85,1417866524.42,82878.15,,7218660.45,,1410730742.12,29754373.86,1380976368.26,1380976368.26,,1353776449.17,27199919.09,,,71690431.31,63464399.42,566905938.74,,,566905938.74,,-503441539.32,,,-443692285.79,,-46197331.81,,,,-13551921.72,,8226031.89,1452666799.57,1417240848.59,35425950.98,0.4,0.4,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T17:58:05
20250630,2037218363.81,757596202.14,441402435.18,35124985.1,71393144.42,,,,186053028.29,802656671.36,616603643.07,1044761736.68,5204143.63,,,26484829.95,8915952.84,2226035.85,63652.91,11116925.15,899401138.43,10918218.48,915597674.78,,-27114754.83,,,,1137817225.38,63908.04,,294940.55,,1137586192.87,105996915.82,1031589277.05,1031589277.05,,1024221683.74,7367593.31,7473897386.94,,60399553.63,55170205.29,254824751.51,,,254824751.51,,-199654546.22,3525971.07,,-149713497.36,,-32001072.31,,,,-21465947.62,,5229348.34,1091988830.68,1079391889.03,12596941.65,0.3,0.3,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T19:23:31
20250331,966525843.05,423668814.28,234381021.27,20376182.3,64256867.13,,,,107777575.63,393766373.33,285988797.7,510356707.32,,,,-86382407.81,1287138.83,-850927.3,120890.13,10548051.97,765066705.2,5283150.18,770444577.96,,-11455963.43,,,794940.49,201459137.85,1674.39,,71136.23,,201389676.01,-7208774.67,208598450.68,208598450.68,0.0,204795178.76,3803271.92,,,-427849434.71,-412982547.35,51309448.1,,,51309448.1,,-464291995.45,,,-445706864.63,,-11422606.66,,,,-7162524.16,,-14866887.36,-219250984.03,-208187368.59,-11063615.44,0.06,0.06,定期报告,未审计,20260430,CNY,合并期末,2025-04-24T17:28:11
20241231,3291547424.2,1618818437.82,853069911.94,126732215.52,155810332.38,,,,473281005.29,1523757392.93,1050476387.64,1042588457.55,17586696.09,,,135875415.47,-7908689.16,4200661.75,130801.89,24561333.59,1751765968.51,18838443.8,1681759588.57,,51167936.14,,,,1539781455.69,1502336.56,,5116045.81,,1536167746.44,121482648.22,1414685098.22,1414685098.22,,1364888583.05,49796515.17,6810946084.86,,483872373.01,481952704.08,61362577.69,,,61362577.69,,420590126.39,1055418.83,,381846272.88,,11196664.9,,,,26491769.78,,1919668.93,1898557471.23,1846841287.13,51716184.1,0.41,0.41,定期报告,是,20260331,CNY,合并期末,2025-03-25T18:23:15
20240930,2350088642.89,1130964872.52,523450288.09,113752697.32,155180934.27,,,,312308249.09,1080869102.75,768560853.66,813630425.86,18722646.15,,,72247422.48,-46658.23,1666529.67,-51801.54,19369603.04,1425305195.0,12118678.81,1433970602.07,,-23642664.12,,,2858578.24,924783447.89,1446943.45,,3364079.72,,922866311.62,22147437.04,900718874.58,900718874.58,,885484146.8,15234727.78,,,3013882.05,11279214.45,41987209.74,,,41987209.74,,-30707995.29,,,-28718724.15,,-17164821.43,,,,15175550.29,,-8265332.4,903732756.63,896763361.25,6969395.38,0.27,0.27,定期报告,未审计,20251029,CNY,合并期末,2024-10-30T16:08:45
20240630,1595836254.51,720140822.57,351560823.59,42638079.83,72040862.25,,,,210654011.26,725348412.0,514694400.74,429202419.29,13524124.42,,,222635211.3,-4685655.98,2268512.37,11433.28,15609500.42,973364950.07,8128212.38,977039072.09,,-11802334.4,,,,622471304.44,1446736.69,,159613.9,,623758427.23,-1988713.99,625747141.22,625747141.22,,614108204.67,11638936.55,6810946084.86,,79501436.72,81947380.01,25890888.19,,,25890888.19,,56056491.82,1159782.11,,73726615.99,,-21749586.43,,,,2919680.15,,-2445943.29,705248577.94,696055584.68,9192993.26,0.19,0.19,定期报告,未审计,20250828,CNY,合并期末,2024-08-27T19:58:02
20240331,834810844.0,408772681.22,179900051.37,22930712.38,89684653.75,,,,85726643.34,354446993.11,268720349.77,414006365.16,,,,-81182103.82,-3108302.54,-4307.46,11982.91,10587885.19,690157033.73,4161006.14,713346372.42,,-28050640.71,,,700295.88,144653810.27,3832.66,,60008.24,,144597634.69,-50529972.47,195127607.16,195127607.16,,184796742.81,10330864.35,,,-14672876.77,-8458473.63,377140.32,,,377140.32,,-8835613.95,,,14412825.07,,-23439882.35,,,,191443.33,,-6214403.14,180454730.39,176338269.18,4116461.21,0.06,0.06,定期报告,未审计,20250425,CNY,合并期末,2024-04-26T16:58:02
20231231,3483493982.45,1916141942.44,779105777.93,154283385.18,232328916.19,,,,423720120.58,1468755193.97,1045035073.39,964751206.1,17301045.36,,,150026285.65,-1438079.09,8080501.45,723561.38,21488443.94,1748875190.49,20487838.97,1768212951.33,,-39846787.37,,,21187.56,1734618791.96,7293708.54,,7319206.81,,1734593293.69,191998398.09,1542594895.6,1542594895.6,,1466886707.38,75708188.22,5914975879.0,,177514331.6,171362776.7,10783367.6,,,10783367.6,,160579409.1,-1372373.98,,149973262.69,,6907626.01,,,,5070894.38,,6151554.9,1720109227.2,1638249484.08,81859743.12,0.46,0.46,定期报告,是,20250326,CNY,合并期末,2024-03-26T20:48:15
