报告日,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,中间业务净收入,中间业务收入,中间业务支出,净交易收入,衍生金融工具交易净收入,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,租赁收入,净敞口套期收益,公允价值变动收益/(损失),其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,折旧费,提取呆账准备,研发费用,其他业务支出,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,加:年初未分配利润,其他因素调整,可供分配的利润,一般风险准备转入,盈余公积转入,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,盈余公积补亏,提取职工奖福基金,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,206255000000.0,151196000000.0,303434000000.0,152238000000.0,30208000000.0,33438000000.0,3230000000.0,,,,1896000000.0,,18043000000.0,13000000.0,11096000000.0,1896000000.0,,,1580000000.0,3332000000.0,,,127441000000.0,1831000000.0,49522000000.0,,73719000000.0,,,,,2369000000.0,78814000000.0,86000000.0,,227000000.0,,78673000000.0,3093000000.0,,75580000000.0,,,75185000000.0,395000000.0,,,,,,,,,,,,,,,,,,,,-11403000000.0,-11433000000.0,-173000000.0,,,-188000000.0,,-11260000000.0,,,2891000000.0,,-12553000000.0,,,,-1535000000.0,30000000.0,64177000000.0,63752000000.0,425000000.0,0.2,0.2,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:00:12
20251231,725306000000.0,569594000000.0,1201338000000.0,631744000000.0,88085000000.0,101954000000.0,13869000000.0,,,,4839000000.0,,42973000000.0,1136000000.0,22908000000.0,4839000000.0,,,9837000000.0,9978000000.0,,,400044000000.0,7840000000.0,255131000000.0,,127189000000.0,18000000.0,,,,9866000000.0,325262000000.0,672000000.0,,2245000000.0,,323689000000.0,31686000000.0,,292003000000.0,,,291041000000.0,962000000.0,1150758000000.0,,1441799000000.0,,,29091000000.0,,37291000000.0,,,,,,1375417000000.0,,,85746000000.0,,1272603000000.0,-12588000000.0,-11843000000.0,3241000000.0,,,3219000000.0,,-15084000000.0,,,-23193000000.0,,8421000000.0,,,,-1096000000.0,-745000000.0,279415000000.0,279198000000.0,217000000.0,0.78,0.78,定期报告,是,20260331,CNY,合并期末,2026-03-30T19:28:05
20250930,550876000000.0,427308000000.0,901051000000.0,473743000000.0,69877000000.0,79828000000.0,9951000000.0,,,,2994000000.0,,34233000000.0,607000000.0,20181000000.0,2994000000.0,,,8539000000.0,7925000000.0,,,300804000000.0,5561000000.0,160511000000.0,,127403000000.0,17000000.0,,,,7312000000.0,250072000000.0,353000000.0,,1133000000.0,,249292000000.0,26969000000.0,,222323000000.0,,,220859000000.0,1464000000.0,,,,,,,,,,,,,,,,,,,,-15791000000.0,-14571000000.0,3143000000.0,,,3144000000.0,,-17714000000.0,,,-20119000000.0,,2237000000.0,,,,-174000000.0,-1220000000.0,206532000000.0,206288000000.0,244000000.0,0.59,0.59,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:30:05
20250630,369937000000.0,282473000000.0,598005000000.0,315532000000.0,51441000000.0,58097000000.0,6656000000.0,,,,2306000000.0,,23153000000.0,441000000.0,15088000000.0,2306000000.0,,,4992000000.0,5572000000.0,,,209001000000.0,3859000000.0,102874000000.0,,97955000000.0,14000000.0,,,,4299000000.0,160936000000.0,186000000.0,,582000000.0,,160540000000.0,20597000000.0,,139943000000.0,,,139510000000.0,433000000.0,1150758000000.0,,1290268000000.0,,,430000000.0,,37201000000.0,,,,,,1252637000000.0,,,43923000000.0,,1199509000000.0,159000000.0,916000000.0,3320000000.0,,,3307000000.0,,-2404000000.0,,,-5585000000.0,,4184000000.0,,,,113000000.0,-757000000.0,140102000000.0,140426000000.0,-324000000.0,0.37,0.37,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T19:38:18
20250331,186674000000.0,140577000000.0,297478000000.0,156901000000.0,28009000000.0,31430000000.0,3421000000.0,,,,4384000000.0,,7173000000.0,72000000.0,6308000000.0,4384000000.0,,,3911000000.0,2620000000.0,,,108676000000.0,1733000000.0,47750000000.0,,57060000000.0,13000000.0,,,,2120000000.0,77998000000.0,76000000.0,,431000000.0,,77643000000.0,5527000000.0,,72116000000.0,,,71931000000.0,185000000.0,,,,,,,,,,,,,,,,,,,,-21611000000.0,-20705000000.0,119000000.0,,,119000000.0,,-20824000000.0,,,-16507000000.0,,-4357000000.0,,,,166000000.0,-906000000.0,50505000000.0,51226000000.0,-721000000.0,0.19,0.19,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T18:46:08
20241231,710555000000.0,580692000000.0,1275680000000.0,694988000000.0,75567000000.0,89965000000.0,14398000000.0,,,,7222000000.0,,31139000000.0,72000000.0,7167000000.0,7222000000.0,,,7992000000.0,7943000000.0,,,390774000000.0,7548000000.0,244420000000.0,,130840000000.0,267000000.0,,,,7699000000.0,319781000000.0,674000000.0,,1254000000.0,,319201000000.0,36530000000.0,,282671000000.0,,,282083000000.0,588000000.0,1114576000000.0,,1396659000000.0,,,28283000000.0,,76791000000.0,,,,,,1291585000000.0,,,121549000000.0,,1150758000000.0,38713000000.0,40315000000.0,532000000.0,,,482000000.0,,39783000000.0,,,39536000000.0,,4584000000.0,,,,469000000.0,-1602000000.0,321384000000.0,322398000000.0,-1014000000.0,0.75,0.75,定期报告,是,20260331,CNY,合并期末,2025-03-28T18:50:08
20240930,540212000000.0,437796000000.0,962512000000.0,524716000000.0,61653000000.0,72035000000.0,10382000000.0,,,,5233000000.0,,25276000000.0,38000000.0,4821000000.0,5233000000.0,,,4079000000.0,6175000000.0,,,298573000000.0,5488000000.0,156354000000.0,,131046000000.0,100000000.0,,,,5585000000.0,241639000000.0,344000000.0,,637000000.0,,241346000000.0,26084000000.0,,215262000000.0,,,214372000000.0,890000000.0,,,,,,,,,,,,,,,,,,,,16758000000.0,18700000000.0,260000000.0,,,209000000.0,,18440000000.0,,,20302000000.0,,1904000000.0,,,,-492000000.0,-1942000000.0,232020000000.0,233072000000.0,-1052000000.0,0.56,0.56,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T19:25:03
20240630,366835000000.0,290848000000.0,644048000000.0,353200000000.0,46736000000.0,53683000000.0,6947000000.0,,,,4575000000.0,,15178000000.0,41000000.0,4300000000.0,4575000000.0,,,5288000000.0,4210000000.0,,,209142000000.0,3843000000.0,100643000000.0,,100998000000.0,33000000.0,,,,3625000000.0,157693000000.0,252000000.0,,474000000.0,,157471000000.0,20977000000.0,,136494000000.0,,,135892000000.0,602000000.0,1114576000000.0,,1250468000000.0,,,389000000.0,,76258000000.0,,,,,,1173821000000.0,,,80811000000.0,,1086394000000.0,10554000000.0,12090000000.0,137000000.0,,,109000000.0,,11953000000.0,,,19018000000.0,,-4542000000.0,,,,136000000.0,-1536000000.0,147048000000.0,147982000000.0,-934000000.0,0.37,0.37,定期报告,未审计,20250830,CNY,合并期末,2024-08-30T20:10:04
20240331,186021000000.0,144535000000.0,323842000000.0,179307000000.0,29037000000.0,32505000000.0,3468000000.0,,,,2672000000.0,,3664000000.0,-5000000.0,415000000.0,2672000000.0,,,4211000000.0,1902000000.0,,,106374000000.0,1812000000.0,47204000000.0,,55611000000.0,17000000.0,,,,1730000000.0,79647000000.0,85000000.0,,293000000.0,,79439000000.0,8600000000.0,,70839000000.0,,,70386000000.0,453000000.0,,,,,,,,,,,,,,,,,,,,-4801000000.0,-4060000000.0,121000000.0,,,118000000.0,,-4181000000.0,,,10230000000.0,,-12813000000.0,,,,-197000000.0,-741000000.0,66038000000.0,66326000000.0,-288000000.0,0.19,0.19,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T20:40:05
20231231,694828000000.0,571750000000.0,1223698000000.0,651948000000.0,80093000000.0,94710000000.0,14617000000.0,,,,4829000000.0,,27749000000.0,189000000.0,1038000000.0,4829000000.0,,,3070000000.0,7337000000.0,,,386035000000.0,7260000000.0,235296000000.0,,135707000000.0,226000000.0,,,,7546000000.0,308793000000.0,573000000.0,,1947000000.0,,307419000000.0,37599000000.0,,269820000000.0,,,269356000000.0,464000000.0,1033442000000.0,,1302798000000.0,,,26794000000.0,,67600000000.0,,,,,,1208404000000.0,,,77766000000.0,,1114576000000.0,4141000000.0,5112000000.0,445000000.0,,,445000000.0,,4667000000.0,,,11645000000.0,,-6333000000.0,,,,766000000.0,-971000000.0,273961000000.0,274468000000.0,-507000000.0,0.72,0.72,定期报告,是,20250329,CNY,合并期末,2024-03-28T20:25:03
20230930,533358000000.0,433628000000.0,910589000000.0,476961000000.0,66757000000.0,77138000000.0,10381000000.0,,,,3572000000.0,,20202000000.0,189000000.0,584000000.0,3572000000.0,,,3748000000.0,5451000000.0,,,295507000000.0,5188000000.0,155415000000.0,,129576000000.0,46000000.0,,,,5282000000.0,237851000000.0,327000000.0,,768000000.0,,237410000000.0,29621000000.0,,207789000000.0,,,207356000000.0,433000000.0,,,,,,,,,,,,,,,,,,,,-8838000000.0,-8019000000.0,392000000.0,,,392000000.0,,-8411000000.0,,,3268000000.0,,-11625000000.0,,,,1167000000.0,-819000000.0,198951000000.0,199337000000.0,-386000000.0,0.55,0.55,定期报告,未审计,20241031,CNY,合并期末,2023-10-27T19:00:03
