报告日,营业收入,已赚保费,其中:保险业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,银行业务利息净收入,银行业务利息收入,银行业务利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,资产管理费收入,投资收益,对联营企业和合营企业的投资损失,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑收益,其他业务收入,资产处置收益,其他收益,营业支出,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保单红利支出,分保费用,手续费及佣金净支出(保险业务),营业税金及附加,业务及管理费,财务费用,研发费用,减:摊回分保费用,资产减值损失,信用减值损失,其他资产减值损失,其他业务成本,营业利润,加:营业外收入,减:营业外支出,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,218405000000.0,138387000000.0,138387000000.0,,,,22282000000.0,39925000000.0,17643000000.0,12352000000.0,14906000000.0,2554000000.0,,40913000000.0,268000000.0,694000000.0,,-49952000000.0,187000000.0,19303000000.0,28000000.0,593000000.0,183228000000.0,,110065000000.0,2899000000.0,,,,,,998000000.0,19962000000.0,,,,,14060000000.0,8000000.0,9707000000.0,35177000000.0,62000000.0,159000000.0,35080000000.0,1817000000.0,33263000000.0,33263000000.0,,25022000000.0,8241000000.0,,,-5530000000.0,-5618000000.0,-3845000000.0,,1000000.0,850000000.0,,-1773000000.0,-18000000.0,,-8166000000.0,,-156000000.0,,-20000000.0,,-1001000000.0,,88000000.0,27733000000.0,19404000000.0,8329000000.0,1.43,1.25,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T19:42:03
20251231,1050506000000.0,559502000000.0,559502000000.0,,,,88662000000.0,169704000000.0,81042000000.0,43532000000.0,52235000000.0,8703000000.0,,152863000000.0,-4804000000.0,1473000000.0,,-10379000000.0,618000000.0,77782000000.0,325000000.0,1803000000.0,862810000000.0,,453268000000.0,11032000000.0,,,,,,3764000000.0,82452000000.0,,,,,72079000000.0,2330000000.0,42402000000.0,187696000000.0,691000000.0,2797000000.0,185590000000.0,27289000000.0,158301000000.0,158301000000.0,,134778000000.0,23523000000.0,693470000000.0,,-3952000000.0,-2645000000.0,33244000000.0,,-291000000.0,67947000000.0,,-35889000000.0,-781000000.0,,-122252000000.0,,2360000000.0,,-121000000.0,,-1238000000.0,,-1307000000.0,154349000000.0,132133000000.0,22216000000.0,7.68,7.44,定期报告,是,20260327,CNY,合并期末,2026-03-26T21:42:07
20250930,832940000000.0,421653000000.0,421653000000.0,,,,67055000000.0,129726000000.0,62671000000.0,33169000000.0,39470000000.0,6301000000.0,,101346000000.0,-2807000000.0,1470000000.0,,48027000000.0,711000000.0,57931000000.0,249000000.0,1425000000.0,651062000000.0,,340246000000.0,8022000000.0,,,,,,2772000000.0,60062000000.0,,,,,42182000000.0,382000000.0,30922000000.0,181878000000.0,467000000.0,1318000000.0,181027000000.0,25960000000.0,155067000000.0,155067000000.0,,132856000000.0,22211000000.0,,,-19440000000.0,-18226000000.0,15780000000.0,,-292000000.0,43396000000.0,,-34006000000.0,-544000000.0,,-100746000000.0,,-160000000.0,,-51000000.0,,-552000000.0,,-1214000000.0,135627000000.0,114630000000.0,20997000000.0,7.56,7.24,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T20:12:03
20250630,500076000000.0,277820000000.0,277820000000.0,,,,44834000000.0,87810000000.0,42976000000.0,21756000000.0,25622000000.0,3866000000.0,,59027000000.0,-1115000000.0,1467000000.0,,-11439000000.0,803000000.0,38929000000.0,56000000.0,1193000000.0,407570000000.0,,220294000000.0,4337000000.0,,,,,,1859000000.0,40916000000.0,,,,,28913000000.0,271000000.0,19845000000.0,92506000000.0,354000000.0,905000000.0,91955000000.0,9430000000.0,82525000000.0,82525000000.0,,68047000000.0,14478000000.0,693470000000.0,,-20331000000.0,-19880000000.0,21448000000.0,,-287000000.0,47519000000.0,,-41328000000.0,8000000.0,,9320000000.0,,-323000000.0,,-94000000.0,,-84000000.0,,-451000000.0,62194000000.0,48167000000.0,14027000000.0,3.87,3.71,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T19:44:03
20250331,232801000000.0,137671000000.0,137671000000.0,,,,22955000000.0,44863000000.0,21908000000.0,11211000000.0,13226000000.0,2015000000.0,,29642000000.0,-628000000.0,11000000.0,,-21802000000.0,232000000.0,18996000000.0,66000000.0,522000000.0,197211000000.0,,110047000000.0,2235000000.0,,,,,,953000000.0,19935000000.0,,,,,11276000000.0,-9000000.0,9682000000.0,35590000000.0,126000000.0,183000000.0,35533000000.0,374000000.0,35159000000.0,35159000000.0,,27016000000.0,8143000000.0,,,-13215000000.0,-12194000000.0,8667000000.0,,-303000000.0,20529000000.0,,-20861000000.0,-160000000.0,,-50584000000.0,,-229000000.0,,-30000000.0,,96000000.0,,-1021000000.0,21944000000.0,14822000000.0,7122000000.0,1.54,1.44,定期报告,未审计,20260429,CNY,合并期末,2025-04-25T19:43:00
20241231,1028925000000.0,551186000000.0,551186000000.0,,,,93913000000.0,197961000000.0,104048000000.0,37945000000.0,45786000000.0,7841000000.0,,83613000000.0,-3479000000.0,693000000.0,,66504000000.0,380000000.0,69733000000.0,3000000.0,2021000000.0,857276000000.0,,449102000000.0,11091000000.0,,,,,,3579000000.0,80473000000.0,,,,,85582000000.0,7177000000.0,36299000000.0,171649000000.0,912000000.0,2066000000.0,170495000000.0,23762000000.0,146733000000.0,146733000000.0,,126607000000.0,20126000000.0,621723000000.0,,-38785000000.0,-39614000000.0,14242000000.0,,1521000000.0,43442000000.0,,-53856000000.0,1466000000.0,,240577000000.0,,-481000000.0,,291000000.0,,854000000.0,,829000000.0,107948000000.0,86993000000.0,20955000000.0,7.16,6.99,定期报告,是,20260327,CNY,合并期末,2025-03-19T22:32:09
20240930,775383000000.0,414465000000.0,414465000000.0,,,,72827000000.0,152930000000.0,80103000000.0,26302000000.0,31633000000.0,5331000000.0,,49298000000.0,-102000000.0,729000000.0,,70409000000.0,-516000000.0,50837000000.0,24000000.0,1606000000.0,616283000000.0,,333181000000.0,8397000000.0,,,,,,2584000000.0,56369000000.0,,,,,47906000000.0,235000000.0,26058000000.0,159100000000.0,484000000.0,991000000.0,158593000000.0,18539000000.0,140054000000.0,140054000000.0,,119182000000.0,20872000000.0,,,-46961000000.0,-46874000000.0,7140000000.0,,1347000000.0,22555000000.0,,-54014000000.0,1133000000.0,,132338000000.0,,-215000000.0,,191000000.0,,-334000000.0,,-87000000.0,93093000000.0,72308000000.0,20785000000.0,6.73,6.58,定期报告,未审计,20251029,CNY,合并期末,2024-10-21T19:37:04
20240630,494966000000.0,274608000000.0,274608000000.0,,,,49306000000.0,103908000000.0,54602000000.0,17486000000.0,21114000000.0,3628000000.0,,15053000000.0,-891000000.0,729000000.0,,46191000000.0,-508000000.0,33703000000.0,30000000.0,1037000000.0,391503000000.0,,218832000000.0,5577000000.0,,,,,,1762000000.0,36842000000.0,,,,,26530000000.0,84000000.0,17315000000.0,103463000000.0,393000000.0,701000000.0,103155000000.0,14451000000.0,88704000000.0,88704000000.0,,74619000000.0,14085000000.0,621723000000.0,,-14786000000.0,-15024000000.0,5460000000.0,,695000000.0,20913000000.0,,-20484000000.0,182000000.0,,112596000000.0,,180000000.0,,319000000.0,,314000000.0,,238000000.0,73918000000.0,59595000000.0,14323000000.0,4.21,4.12,定期报告,未审计,20250827,CNY,合并期末,2024-08-22T20:32:02
20240331,245569000000.0,136852000000.0,136852000000.0,,,,25305000000.0,53299000000.0,27994000000.0,9358000000.0,11197000000.0,1839000000.0,,-6971000000.0,-531000000.0,,,34487000000.0,-302000000.0,16832000000.0,2000000.0,810000000.0,192972000000.0,,109996000000.0,2775000000.0,,,,,,862000000.0,17971000000.0,,,,,10351000000.0,6000000.0,8821000000.0,52597000000.0,189000000.0,169000000.0,52617000000.0,7567000000.0,45050000000.0,45050000000.0,,36709000000.0,8341000000.0,,,-30852000000.0,-30996000000.0,183000000.0,,160000000.0,-107000000.0,,-31179000000.0,78000000.0,,67922000000.0,,46000000.0,,327000000.0,,-68000000.0,,144000000.0,14198000000.0,5713000000.0,8485000000.0,2.07,2.03,定期报告,未审计,20250426,CNY,合并期末,2024-04-23T19:12:02
20231231,913789000000.0,536440000000.0,536440000000.0,,,,118947000000.0,227552000000.0,108605000000.0,37033000000.0,45806000000.0,8773000000.0,,36891000000.0,1434000000.0,-506000000.0,,-9039000000.0,120000000.0,71771000000.0,563000000.0,2560000000.0,792936000000.0,,440178000000.0,10448000000.0,,,,,,3665000000.0,80212000000.0,,,,,77744000000.0,1327000000.0,38086000000.0,120853000000.0,816000000.0,1552000000.0,120117000000.0,10843000000.0,109274000000.0,109274000000.0,,85665000000.0,23609000000.0,592856000000.0,,-18859000000.0,-18846000000.0,6561000000.0,,-10000000.0,17579000000.0,,-25407000000.0,-664000000.0,,90299000000.0,,57000000.0,,355000000.0,,755000000.0,,-13000000.0,90415000000.0,66819000000.0,23596000000.0,4.84,4.74,定期报告,是,20250320,CNY,合并期末,2024-03-21T21:27:02
