date,exports
1970-01-01 00:00:00.064894649,-25.7
1970-01-01 00:00:00.080379283,-40.6
1970-01-01 00:00:00.087367796,6.5
1970-01-01 00:00:00.088757886,-26.4
1970-01-01 00:00:00.090290547,-17.1
1970-01-01 00:00:00.090453600,-17.5
1970-01-01 00:00:00.091934722,-22.6
1970-01-01 00:00:00.094522714,45.7
1970-01-01 00:00:00.095512025,-21.3
1970-01-01 00:00:00.096736124,2.4
1970-01-01 00:00:00.103707009,-23.4
1970-01-01 00:00:00.105420240,-23.0
1970-01-01 00:00:00.108962891,30.6
1970-01-01 00:00:00.109475299,21.0
1970-01-01 00:00:00.109640030,26.6
1970-01-01 00:00:00.110762383,-13.8
1970-01-01 00:00:00.111157222,-2.8
1970-01-01 00:00:00.112111793,24.3
1970-01-01 00:00:00.113653429,-1.2
1970-01-01 00:00:00.114052000,-18.1
1970-01-01 00:00:00.114470693,18.4
1970-01-01 00:00:00.114987285,-2.2
1970-01-01 00:00:00.115937994,-15.2
1970-01-01 00:00:00.118706686,21.8
1970-01-01 00:00:00.118848000,-2.4
1970-01-01 00:00:00.119920666,30.5
1970-01-01 00:00:00.120496491,28.1
1970-01-01 00:00:00.121179554,17.2
1970-01-01 00:00:00.121707000,-28.0
1970-01-01 00:00:00.128327028,19.2
1970-01-01 00:00:00.130723881,17.7
1970-01-01 00:00:00.131760663,48.5
1970-01-01 00:00:00.134872675,21.1
1970-01-01 00:00:00.135330170,-20.7
1970-01-01 00:00:00.135978419,22.9
1970-01-01 00:00:00.136432088,21.5
1970-01-01 00:00:00.136675046,26.9
1970-01-01 00:00:00.137395578,43.9
1970-01-01 00:00:00.139302230,34.4
1970-01-01 00:00:00.139304000,21.8
1970-01-01 00:00:00.144235000,-15.1
1970-01-01 00:00:00.144985285,25.1
1970-01-01 00:00:00.145519322,38.1
1970-01-01 00:00:00.149939113,-0.5
1970-01-01 00:00:00.150734151,37.7
1970-01-01 00:00:00.152199071,35.8
1970-01-01 00:00:00.153325762,34.9
1970-01-01 00:00:00.154148895,17.9
1970-01-01 00:00:00.155098000,7.5
1970-01-01 00:00:00.155684084,29.9
1970-01-01 00:00:00.157157191,19.4
1970-01-01 00:00:00.157490772,15.9
1970-01-01 00:00:00.161980774,17.9
1970-01-01 00:00:00.163251712,4.9
1970-01-01 00:00:00.165658100,8.9
1970-01-01 00:00:00.166689000,-5.3
1970-01-01 00:00:00.168947000,48.2
1970-01-01 00:00:00.169399000,-15.2
1970-01-01 00:00:00.169673012,17.1
1970-01-01 00:00:00.170002000,-6.6
1970-01-01 00:00:00.170549000,43.6
1970-01-01 00:00:00.173315697,24.5
1970-01-01 00:00:00.173900000,-3.0
1970-01-01 00:00:00.174235000,-3.1
1970-01-01 00:00:00.174464123,13.8
1970-01-01 00:00:00.174717651,13.4
1970-01-01 00:00:00.175128036,20.4
1970-01-01 00:00:00.175571102,11.6
1970-01-01 00:00:00.175710000,-6.9
1970-01-01 00:00:00.175902000,-6.6
1970-01-01 00:00:00.176605000,-6.8
1970-01-01 00:00:00.176836000,-7.9
1970-01-01 00:00:00.176940032,1.0
1970-01-01 00:00:00.177763000,6.5
1970-01-01 00:00:00.177973297,2.7
1970-01-01 00:00:00.179248000,15.4
1970-01-01 00:00:00.179380767,2.9
1970-01-01 00:00:00.180204470,11.3
1970-01-01 00:00:00.180273000,6.6
1970-01-01 00:00:00.180659000,-6.5
1970-01-01 00:00:00.181140762,15.3
1970-01-01 00:00:00.182102000,10.0
1970-01-01 00:00:00.182680000,1.0
1970-01-01 00:00:00.183440000,-10.4
1970-01-01 00:00:00.184571998,-6.9
1970-01-01 00:00:00.185294000,5.6
1970-01-01 00:00:00.185313000,-0.3
1970-01-01 00:00:00.185915000,5.1
1970-01-01 00:00:00.186349509,9.9
1970-01-01 00:00:00.186756000,7.2
1970-01-01 00:00:00.186931000,14.7
1970-01-01 00:00:00.187288000,25.0
1970-01-01 00:00:00.187903000,6.3
1970-01-01 00:00:00.188450000,0.8
