date,value
2014-01-15,36600
2014-07-15,39500
2015-01-15,39900
2016-03-07,32300
2016-04-07,32000
2016-06-07,32100
2016-07-07,31900
2016-08-07,32100
2016-09-07,32000
2016-10-07,31800
2016-11-07,31700
2016-12-07,31200
2017-01-07,30520
2017-02-07,30110
2017-03-07,29980
2017-04-07,30050
2017-05-07,30090
2017-06-07,30300
2017-07-07,30540
2017-08-07,30570
2017-09-07,30810
2017-10-09,30920
2017-11-07,31080
2017-12-07,31090
2018-01-07,31190
2018-02-07,31390
2018-03-07,31620
2018-04-08,31340
2018-05-07,31430
2018-06-07,31250
2018-07-09,31110
2018-08-07,31120
2018-09-07,31180
2018-10-07,31100
2018-11-07,30870
2018-12-07,30500
2019-01-07,30600
2019-02-11,30700
2019-03-07,30700
2019-04-07,30900
2019-05-08,30990
2019-07-08,31010
2019-08-07,31190
2019-09-07,31040
2019-10-08,31070
2019-11-07,30920
2019-12-07,31050
2020-01-07,30960
2020-02-07,31080
2020-03-07,31150
2020-04-07,31070
2020-05-07,30610
2020-07-07,31020
2020-08-07,31120
2020-09-07,31540
2020-10-07,31650
2020-10-09,31650
2020-11-07,31430
2020-12-07,31280
2021-01-07,31780
2021-02-07,32170
2021-03-07,32110
2021-04-07,32050
2021-05-07,31700
2021-06-07,31980
2021-07-07,32220
2021-07-08,32220
2021-08-07,32140
2021-09-07,32360
2021-10-07,32320
2021-10-08,32320
2021-11-07,32010
2021-12-07,32180
2022-01-07,32220
2022-02-07,32500
2022-03-07,32220
2022-04-07,32140
2022-04-08,32140
2022-05-07,31880
2022-05-08,31880
2022-06-07,31200
2022-06-08,31200
2022-07-07,31280
2022-07-08,31280
2022-08-07,30710
2022-09-07,31040
2022-09-08,31040
2022-10-07,30550
2022-11-07,30290
2022-12-07,30520
2022-12-08,30520
2023-01-07,31170
2023-02-07,31280
2023-03-07,31840
2023-03-08,31840
2023-04-07,31330
2023-05-07,31840
2023-05-08,31840
2023-05-09,31840
2023-06-07,32050
2023-06-08,32050
2023-07-07,31770
2023-08-07,31930
2023-09-07,32040
2023-10-08,31600
2023-11-07,31150
2023-12-07,31010
2024-01-07,31720
2024-02-07,32380
2024-03-07,32190
2024-04-07,32260
2024-05-07,32460
2024-06-07,32010
2024-07-07,32320
2024-08-07,32220
2024-09-07,32560
2024-10-07,32880
2024-11-07,33160
2024-12-07,32610
2025-01-07,32660
2025-02-07,32020
2025-02-08,32020
2025-03-07,32090
2025-03-08,32090
2025-04-07,32270
2025-04-08,32270
2025-05-07,32410
2025-05-08,32410
2025-06-07,32820
2025-07-07,32850
2025-08-07,33170
2025-09-07,32920
