date,value
1970-01-01 00:00:00.000047831,12.4
1970-01-01 00:00:00.000058080,13.6
1970-01-01 00:00:00.000070609,11.6
1970-01-01 00:00:00.000075341,6.4
1970-01-01 00:00:00.000089125,12.2
1970-01-01 00:00:00.000101247,13.1
1970-01-01 00:00:00.000106218,10.1
1970-01-01 00:00:00.000119377,8.1
1970-01-01 00:00:00.000123831,14.3
1970-01-01 00:00:00.000131879,7.9
1970-01-01 00:00:00.000143539,7.6
1970-01-01 00:00:00.000150574,11.3
1970-01-01 00:00:00.000154171,7.1
1970-01-01 00:00:00.000158067,12.7
1970-01-01 00:00:00.000160697,7.3
1970-01-01 00:00:00.000165735,6.8
1970-01-01 00:00:00.000185274,7.0
1970-01-01 00:00:00.000190200,11.4
1970-01-01 00:00:00.000194325,14.3
1970-01-01 00:00:00.000205735,6.9
1970-01-01 00:00:00.000209671,-6.8
1970-01-01 00:00:00.000221453,6.4
1970-01-01 00:00:00.000222578,12.7
1970-01-01 00:00:00.000226995,10.0
1970-01-01 00:00:00.000234242,10.7
1970-01-01 00:00:00.000252027,8.5
1970-01-01 00:00:00.000252868,7.9
1970-01-01 00:00:00.000255055,18.9
1970-01-01 00:00:00.000274179,14.2
1970-01-01 00:00:00.000277175,4.8
1970-01-01 00:00:00.000277993,7.7
1970-01-01 00:00:00.000292368,4.7
1970-01-01 00:00:00.000297992,10.8
1970-01-01 00:00:00.000303001,7.6
1970-01-01 00:00:00.000304761,5.3
1970-01-01 00:00:00.000318466,5.4
1970-01-01 00:00:00.000324317,9.7
1970-01-01 00:00:00.000326058,7.1
1970-01-01 00:00:00.000334192,5.0
1970-01-01 00:00:00.000350737,6.8
1970-01-01 00:00:00.000354521,9.4
1970-01-01 00:00:00.000355557,9.8
1970-01-01 00:00:00.000390940,7.0
1970-01-01 00:00:00.000393252,7.7
1970-01-01 00:00:00.000419253,10.6
1970-01-01 00:00:00.000432965,7.8
1970-01-01 00:00:00.000433777,6.9
1970-01-01 00:00:00.000463121,-1.6
1970-01-01 00:00:00.000467647,6.2
1970-01-01 00:00:00.000471603,7.5
1970-01-01 00:00:00.000495707,9.5
1970-01-01 00:00:00.000506177,7.0
1970-01-01 00:00:00.000543034,13.0
1970-01-01 00:00:00.000545575,6.8
1970-01-01 00:00:00.000547510,7.9
1970-01-01 00:00:00.000576287,2.7
1970-01-01 00:00:00.000603660,7.8
1970-01-01 00:00:00.000607695,6.9
1970-01-01 00:00:00.000608606,5.7
1970-01-01 00:00:00.000633599,5.0
1970-01-01 00:00:00.000655782,7.5
1970-01-01 00:00:00.000659861,5.3
1970-01-01 00:00:00.000672574,6.8
1970-01-01 00:00:00.000702511,7.0
1970-01-01 00:00:00.000723671,6.1
1970-01-01 00:00:00.000733031,0.7
1970-01-01 00:00:00.000761193,6.8
1970-01-01 00:00:00.000840996,10.2
1970-01-01 00:00:00.000847382,6.9
1970-01-01 00:00:00.000891687,3.2
1970-01-01 00:00:00.000936010,6.8
1970-01-01 00:00:00.000937047,5.4
1970-01-01 00:00:00.000974553,4.8
1970-01-01 00:00:00.001005872,6.1
1970-01-01 00:00:00.001013967,5.2
1970-01-01 00:00:00.001034867,2.3
1970-01-01 00:00:00.001173823,8.6
1970-01-01 00:00:00.001234029,3.1
1970-01-01 00:00:00.001294271,5.4
1970-01-01 00:00:00.001348066,5.0
1970-01-01 00:00:00.001401879,5.0
