date,value
1998-01-01,98.6
1998-02-01,98.99
1998-03-01,99.05
1998-04-01,100.81
1998-05-01,101.68
1998-06-01,102.94
1998-07-01,103.75
1998-08-01,103.94
1998-09-01,103.45
1998-10-01,103.61
1998-11-01,103.72
1998-12-01,103.63
1999-01-01,104.8
1999-02-01,104.88
1999-03-01,104.39
1999-04-01,103.89
1999-05-01,103.28
1999-06-01,102.21
1999-07-01,101.65
1999-08-01,101.29
1999-09-01,100.92
1999-10-01,100.87
1999-11-01,101.11
1999-12-01,101.46
2000-01-01,102.24
2000-02-01,102.57
2000-03-01,101.82
2000-04-01,101.85
2000-05-01,102.2
2000-06-01,102.69
2000-07-01,102.94
2000-08-01,103.32
2000-09-01,103.52
2000-10-01,103.43
2000-11-01,103.68
2000-12-01,104.0
2001-01-01,105.22
2001-02-01,105.02
2001-03-01,106.15
2001-04-01,106.88
2001-05-01,106.51
2001-06-01,106.01
2001-07-01,106.44
2001-08-01,106.36
2001-09-01,105.85
2001-10-01,105.63
2001-11-01,105.1
2001-12-01,105.27
2002-01-01,103.91
2002-02-01,103.53
2002-03-01,103.87
2002-04-01,104.6
2002-05-01,104.37
2002-06-01,104.65
2002-07-01,104.29
2002-08-01,104.46
2002-09-01,104.97
2002-10-01,105.15
2002-11-01,104.9
2002-12-01,104.18
2003-01-01,108.89
2003-02-01,109.141
2003-03-01,107.337
2003-04-01,106.889
2003-05-01,106.283
2003-06-01,107.04
2003-07-01,107.269
2003-08-01,106.885
2003-09-01,106.649
2003-10-01,106.67
2003-11-01,106.419
2003-12-01,106.234
2004-01-01,106.59
2004-02-01,107.661
2004-03-01,106.204
2004-04-01,105.772
2004-05-01,105.918
2004-06-01,105.183
2004-07-01,105.246
2004-08-01,105.159
2004-09-01,104.827
2004-10-01,104.872
2004-11-01,105.085
2004-12-01,105.321
2005-01-01,103.12
2005-02-01,102.711
2005-03-01,102.432
2005-04-01,102.264
2005-05-01,102.171
2005-06-01,102.084
2005-07-01,101.973
2005-08-01,101.762
2005-09-01,101.423
2005-10-01,101.017
2005-11-01,100.686
2005-12-01,100.608
2006-01-01,100.76
2006-02-01,101.049
2006-03-01,101.457
2006-04-01,101.61
2006-05-01,101.87
