商品,日期,今值,预测值,前值
中国规模以上工业增加值年率报告,1990-03-01,5.0,,
中国规模以上工业增加值年率报告,1990-04-01,0.8,,5.0
中国规模以上工业增加值年率报告,1990-05-01,1.7,,0.8
中国规模以上工业增加值年率报告,1990-06-01,3.3,,1.7
中国规模以上工业增加值年率报告,1990-07-01,5.0,,3.3
中国规模以上工业增加值年率报告,1990-08-01,2.5,,5.0
中国规模以上工业增加值年率报告,1990-09-01,4.2,,2.5
中国规模以上工业增加值年率报告,1990-10-01,6.7,,4.2
中国规模以上工业增加值年率报告,1990-11-01,10.9,,6.7
中国规模以上工业增加值年率报告,1990-12-01,12.6,,10.9
中国规模以上工业增加值年率报告,1991-01-01,12.6,,12.6
中国规模以上工业增加值年率报告,1991-02-01,23.5,,12.6
中国规模以上工业增加值年率报告,1991-03-01,9.2,,23.5
中国规模以上工业增加值年率报告,1991-04-01,10.9,,9.2
中国规模以上工业增加值年率报告,1991-05-01,10.9,,10.9
中国规模以上工业增加值年率报告,1991-06-01,10.9,,10.9
中国规模以上工业增加值年率报告,1991-07-01,9.2,,10.9
中国规模以上工业增加值年率报告,1991-08-01,10.9,,9.2
中国规模以上工业增加值年率报告,1991-09-01,11.8,,10.9
中国规模以上工业增加值年率报告,1991-10-01,12.6,,11.8
中国规模以上工业增加值年率报告,1991-11-01,11.8,,12.6
中国规模以上工业增加值年率报告,1991-12-01,7.6,,11.8
中国规模以上工业增加值年率报告,1992-01-01,5.0,,7.6
中国规模以上工业增加值年率报告,1992-02-01,10.9,,5.0
中国规模以上工业增加值年率报告,1992-03-01,18.5,,10.9
中国规模以上工业增加值年率报告,1992-04-01,16.8,,18.5
中国规模以上工业增加值年率报告,1992-05-01,15.1,,16.8
中国规模以上工业增加值年率报告,1992-06-01,14.3,,15.1
中国规模以上工业增加值年率报告,1992-07-01,16.8,,14.3
中国规模以上工业增加值年率报告,1992-08-01,19.3,,16.8
中国规模以上工业增加值年率报告,1992-09-01,17.6,,19.3
中国规模以上工业增加值年率报告,1992-10-01,17.6,,17.6
中国规模以上工业增加值年率报告,1992-11-01,18.5,,17.6
中国规模以上工业增加值年率报告,1992-12-01,21.8,,18.5
中国规模以上工业增加值年率报告,1993-01-01,26.9,,21.8
中国规模以上工业增加值年率报告,1993-02-01,8.4,,26.9
中国规模以上工业增加值年率报告,1993-03-01,27.7,,8.4
