date,value
1990-03-01,636249600000000000
1990-04-01,638928000000000000
1990-05-01,641520000000000000
1990-06-01,644198400000000000
1990-07-01,646790400000000000
1990-08-01,649468800000000000
1990-09-01,652147200000000000
1990-10-01,654739200000000000
1990-11-01,657417600000000000
1990-12-01,660009600000000000
1991-01-01,662688000000000000
1991-02-01,665366400000000000
1991-03-01,667785600000000000
1991-04-01,670464000000000000
1991-05-01,673056000000000000
1991-06-01,675734400000000000
1991-07-01,678326400000000000
1991-08-01,681004800000000000
1991-09-01,683683200000000000
1991-10-01,686275200000000000
1991-11-01,688953600000000000
1991-12-01,691545600000000000
1992-01-01,694224000000000000
1992-02-01,696902400000000000
1992-03-01,699408000000000000
1992-04-01,702086400000000000
1992-05-01,704678400000000000
1992-06-01,707356800000000000
1992-07-01,709948800000000000
1992-08-01,712627200000000000
1992-09-01,715305600000000000
1992-10-01,717897600000000000
1992-11-01,720576000000000000
1992-12-01,723168000000000000
1993-01-01,725846400000000000
1993-02-01,728524800000000000
1993-03-01,730944000000000000
1993-04-01,733622400000000000
1993-05-01,736214400000000000
1993-06-01,738892800000000000
1993-07-01,741484800000000000
1993-08-01,744163200000000000
1993-09-01,746841600000000000
1993-10-01,749433600000000000
1993-11-01,752112000000000000
1993-12-01,754704000000000000
1994-01-01,757382400000000000
1994-02-01,760060800000000000
1994-03-01,762480000000000000
1994-04-01,765158400000000000
1994-05-01,767750400000000000
1994-06-01,770428800000000000
1994-07-01,773020800000000000
1994-08-01,775699200000000000
1994-09-01,778377600000000000
1994-10-01,780969600000000000
1994-11-01,783648000000000000
1994-12-01,786240000000000000
1995-01-01,788918400000000000
1995-02-01,791596800000000000
1995-03-01,794016000000000000
1995-04-01,796694400000000000
1995-05-01,799286400000000000
1995-06-01,801964800000000000
1995-07-01,804556800000000000
1995-08-01,807235200000000000
1995-09-01,809913600000000000
1995-10-01,812505600000000000
1995-11-01,815184000000000000
1995-12-01,817776000000000000
1996-01-01,820454400000000000
1996-02-01,823132800000000000
1996-03-01,825638400000000000
1996-04-01,828316800000000000
1996-05-01,830908800000000000
1996-06-01,833587200000000000
1996-07-01,836179200000000000
1996-08-01,838857600000000000
1996-09-01,841536000000000000
1996-10-01,844128000000000000
1996-11-01,846806400000000000
1996-12-01,849398400000000000
1997-01-01,852076800000000000
1997-02-01,854755200000000000
1997-03-01,857174400000000000
1997-04-01,859852800000000000
1997-05-01,862444800000000000
1997-06-01,865123200000000000
1997-07-01,867715200000000000
1997-08-01,870393600000000000
1997-09-01,873072000000000000
1997-10-01,875664000000000000
1997-11-01,878342400000000000
1997-12-01,880934400000000000
1998-01-01,883612800000000000
1998-02-01,886291200000000000
1998-03-01,888710400000000000
1998-04-01,891388800000000000
1998-05-01,893980800000000000
1998-06-01,896659200000000000
1998-07-01,899251200000000000
1998-08-01,901929600000000000
1998-09-01,904608000000000000
1998-10-01,907200000000000000
1998-11-01,909878400000000000
1998-12-01,912470400000000000
1999-01-01,915148800000000000
1999-02-01,917827200000000000
1999-03-01,920246400000000000
1999-04-01,922924800000000000
1999-05-01,925516800000000000
1999-06-01,928195200000000000
1999-07-01,930787200000000000
1999-08-01,933465600000000000
1999-09-01,936144000000000000
1999-10-01,938736000000000000
1999-11-01,941414400000000000
1999-12-01,944006400000000000
2000-01-01,946684800000000000
2000-02-01,949363200000000000
2000-03-01,951868800000000000
2000-04-01,954547200000000000
2000-05-01,957139200000000000
2000-06-01,959817600000000000
2000-07-01,962409600000000000
2000-08-01,965088000000000000
2000-09-01,967766400000000000
2000-10-01,970358400000000000
2000-11-01,973036800000000000
2000-12-01,975628800000000000
2001-01-01,978307200000000000
2001-02-01,980985600000000000
2001-03-01,983404800000000000
2001-04-01,986083200000000000
2001-05-01,988675200000000000
2001-06-01,991353600000000000
2001-07-01,993945600000000000
2001-08-01,996624000000000000
2001-09-01,999302400000000000
2001-10-01,1001894400000000000
2001-11-01,1004572800000000000
2001-12-01,1007164800000000000
2002-01-01,1009843200000000000
2002-02-01,1012521600000000000
2002-03-01,1014940800000000000
2002-04-01,1017619200000000000
2002-05-01,1020211200000000000
2002-06-01,1022889600000000000
2002-07-01,1025481600000000000
2002-08-01,1028160000000000000
2002-09-01,1030838400000000000
2002-10-01,1033430400000000000
2002-11-01,1036108800000000000
2002-12-01,1038700800000000000
2003-01-01,1041379200000000000
2003-02-01,1044057600000000000
2003-03-01,1046476800000000000
2003-04-01,1049155200000000000
2003-05-01,1051747200000000000
2003-06-01,1054425600000000000
2003-07-01,1057017600000000000
2003-08-01,1059696000000000000
2003-09-01,1062374400000000000
2003-10-01,1064966400000000000
2003-11-01,1067644800000000000
2003-12-01,1070236800000000000
2004-01-01,1072915200000000000
2004-02-01,1075593600000000000
2004-03-01,1078099200000000000
2004-04-01,1080777600000000000
2004-05-01,1083369600000000000
2004-06-01,1086048000000000000
2004-07-01,1088640000000000000
2004-08-01,1091318400000000000
2004-09-01,1093996800000000000
2004-10-01,1096588800000000000
2004-11-01,1099267200000000000
2004-12-01,1101859200000000000
2005-01-01,1104537600000000000
2005-02-01,1107216000000000000
2005-03-01,1109635200000000000
2005-04-01,1112313600000000000
2005-05-01,1114905600000000000
2005-06-01,1117584000000000000
2005-07-01,1120176000000000000
2005-08-01,1122854400000000000
2005-09-01,1125532800000000000
2005-10-01,1128124800000000000
2005-11-01,1130803200000000000
2005-12-01,1133395200000000000
2006-01-01,1136073600000000000
2006-03-01,1141171200000000000
2006-04-01,1143849600000000000
2006-05-01,1146441600000000000
2006-06-01,1149120000000000000
2006-07-01,1151712000000000000
2006-08-01,1154390400000000000
2006-09-01,1157068800000000000
2006-10-01,1159660800000000000
2006-11-01,1162339200000000000
2006-12-01,1164931200000000000
2007-01-01,1167609600000000000
2007-03-01,1172707200000000000
2007-04-01,1175385600000000000
2007-05-01,1177977600000000000
2007-06-01,1180656000000000000
2007-07-01,1183248000000000000
2007-08-01,1185926400000000000
2007-09-01,1188604800000000000
2007-10-01,1191196800000000000
2007-11-01,1193875200000000000
2007-12-01,1196467200000000000
2008-01-01,1199145600000000000
2008-03-01,1204329600000000000
2008-04-01,1207008000000000000
2008-05-01,1209600000000000000
2008-06-01,1212278400000000000
2008-07-01,1214870400000000000
2008-08-01,1217548800000000000
2008-09-01,1220227200000000000
2008-10-01,1222819200000000000
2008-11-01,1225497600000000000
2008-12-01,1228089600000000000
2009-01-01,1230768000000000000
2009-03-01,1235865600000000000
2009-04-01,1238544000000000000
2009-05-01,1241136000000000000
2009-06-01,1243814400000000000
2009-07-01,1246406400000000000
2009-08-01,1249084800000000000
2009-09-01,1251763200000000000
2009-10-01,1254355200000000000
2009-11-01,1257033600000000000
2009-12-01,1259625600000000000
2010-01-01,1262304000000000000
2010-03-01,1267401600000000000
2010-04-01,1270080000000000000
2010-05-01,1272672000000000000
2010-06-01,1275350400000000000
2010-07-01,1277942400000000000
2010-08-01,1280620800000000000
2010-09-01,1283299200000000000
2010-10-01,1285891200000000000
2010-11-01,1288569600000000000
2010-12-11,1292025600000000000
2011-01-20,1295481600000000000
2011-03-11,1299801600000000000
2011-04-15,1302825600000000000
2011-05-11,1305072000000000000
2011-06-14,1308009600000000000
2011-07-13,1310515200000000000
2011-08-09,1312848000000000000
2011-09-09,1315526400000000000
2011-10-18,1318896000000000000
2011-11-09,1320796800000000000
2011-12-09,1323388800000000000
2012-01-17,1326758400000000000
2012-03-09,1331251200000000000
2012-04-13,1334275200000000000
2012-05-11,1336694400000000000
2012-06-09,1339200000000000000
2012-07-13,1342137600000000000
2012-08-09,1344470400000000000
2012-09-09,1347148800000000000
2012-10-18,1350518400000000000
2012-11-09,1352419200000000000
2012-12-09,1355011200000000000
2013-01-18,1358467200000000000
2013-03-09,1362787200000000000
2013-04-15,1365984000000000000
2013-05-13,1368403200000000000
2013-06-09,1370736000000000000
2013-07-15,1373846400000000000
2013-08-09,1376006400000000000
2013-09-10,1378771200000000000
2013-10-18,1382054400000000000
2013-11-09,1383955200000000000
2013-12-10,1386633600000000000
2014-01-20,1390176000000000000
2014-03-13,1394668800000000000
2014-04-16,1397606400000000000
2014-05-13,1399939200000000000
2014-06-13,1402617600000000000
2014-07-16,1405468800000000000
2014-08-13,1407888000000000000
2014-09-13,1410566400000000000
2014-10-21,1413849600000000000
2014-11-13,1415836800000000000
2014-12-12,1418342400000000000
2015-01-20,1421712000000000000
2015-03-11,1426032000000000000
2015-04-15,1429056000000000000
2015-05-13,1431475200000000000
2015-06-11,1433980800000000000
2015-07-15,1436918400000000000
2015-08-12,1439337600000000000
2015-09-13,1442102400000000000
2015-10-19,1445212800000000000
2015-11-11,1447200000000000000
2015-12-12,1449878400000000000
2016-01-19,1453161600000000000
2016-03-12,1457740800000000000
2016-04-15,1460678400000000000
2016-05-14,1463184000000000000
2016-06-13,1465776000000000000
2016-07-15,1468540800000000000
2016-08-12,1470960000000000000
2016-09-13,1473724800000000000
2016-10-19,1476835200000000000
2016-11-14,1479081600000000000
2016-12-13,1481587200000000000
2017-01-20,1484870400000000000
2017-03-14,1489449600000000000
2017-04-17,1492387200000000000
2017-05-15,1494806400000000000
2017-06-14,1497398400000000000
2017-07-17,1500249600000000000
2017-08-14,1502668800000000000
2017-09-14,1505347200000000000
2017-10-19,1508371200000000000
2017-11-14,1510617600000000000
2017-12-14,1513209600000000000
2018-01-18,1516233600000000000
2018-03-14,1520985600000000000
2018-04-17,1523923200000000000
2018-05-15,1526342400000000000
2018-06-14,1528934400000000000
2018-07-16,1531699200000000000
2018-08-14,1534204800000000000
2018-09-14,1536883200000000000
2018-10-19,1539907200000000000
2018-11-14,1542153600000000000
2018-12-14,1544745600000000000
2019-01-21,1548028800000000000
2019-03-14,1552521600000000000
2019-04-17,1555459200000000000
2019-05-15,1557878400000000000
2019-05-22,1558483200000000000
2019-06-14,1560470400000000000
2019-07-15,1563148800000000000
2019-08-14,1565740800000000000
2019-09-16,1568592000000000000
2019-10-18,1571356800000000000
2019-11-14,1573689600000000000
2019-12-16,1576454400000000000
2020-01-17,1579219200000000000
2020-03-16,1584316800000000000
2020-04-17,1587081600000000000
2020-05-15,1589500800000000000
2020-06-15,1592179200000000000
2020-07-16,1594857600000000000
2020-08-14,1597363200000000000
2020-09-15,1600128000000000000
2020-10-15,1602720000000000000
2020-10-19,1603065600000000000
2020-11-16,1605484800000000000
2020-12-15,1607990400000000000
2021-01-18,1610928000000000000
2021-03-15,1615766400000000000
2021-04-16,1618531200000000000
2021-05-17,1621209600000000000
2021-06-16,1623801600000000000
2021-07-15,1626307200000000000
2021-08-16,1629072000000000000
2021-09-15,1631664000000000000
2021-10-18,1634515200000000000
2021-11-11,1636588800000000000
2021-11-15,1636934400000000000
2021-11-16,1637020800000000000
2021-12-15,1639526400000000000
2022-01-17,1642377600000000000
2022-03-15,1647302400000000000
2022-04-18,1650240000000000000
2022-05-16,1652659200000000000
2022-06-15,1655251200000000000
2022-07-15,1657843200000000000
2022-08-15,1660521600000000000
2022-09-16,1663286400000000000
