date,item,value
201801,全国城镇25—59岁劳动力失业率 ,4.4
201801,全国城镇调查失业率 ,5.0
201802,全国城镇调查失业率 ,5.0
201802,全国城镇25—59岁劳动力失业率 ,4.5
201803,全国城镇调查失业率 ,5.1
201803,全国城镇25—59岁劳动力失业率 ,4.6
201804,全国城镇调查失业率 ,4.9
201804,全国城镇25—59岁劳动力失业率 ,4.4
201805,全国城镇25—59岁劳动力失业率 ,4.4
201805,全国城镇调查失业率 ,4.8
201806,全国城镇25—59岁劳动力失业率 ,4.4
201806,全国城镇调查失业率 ,4.8
201807,全国城镇25—59岁劳动力失业率 ,4.4
201807,全国城镇调查失业率 ,5.1
201808,全国城镇25—59岁劳动力失业率 ,4.3
201808,全国城镇调查失业率 ,5.0
201809,全国城镇25—59岁劳动力失业率 ,4.3
201809,全国城镇调查失业率 ,4.9
201810,全国城镇25—59岁劳动力失业率 ,4.4
201810,全国城镇调查失业率 ,4.9
201811,全国城镇调查失业率 ,4.8
201811,全国城镇25—59岁劳动力失业率 ,4.4
201812,全国城镇25—59岁劳动力失业率 ,4.4
201812,全国城镇调查失业率 ,4.9
201901,全国城镇25—59岁劳动力失业率 ,4.6
201901,全国城镇调查失业率 ,5.1
201902,全国城镇25—59岁劳动力失业率 ,4.9
201902,全国城镇调查失业率 ,5.3
201903,全国城镇25—59岁劳动力失业率 ,4.8
201903,全国城镇调查失业率 ,5.2
201904,全国城镇25—59岁劳动力失业率 ,4.7
201904,全国城镇调查失业率 ,5.0
201905,全国城镇25—59岁劳动力失业率 ,4.5
201905,全国城镇调查失业率 ,5.0
201906,全国城镇25—59岁劳动力失业率 ,4.6
201906,全国城镇调查失业率 ,5.1
201907,全国城镇调查失业率 ,5.3
201907,全国城镇25—59岁劳动力失业率 ,4.6
201908,全国城镇25—59岁劳动力失业率 ,4.5
201908,全国城镇调查失业率 ,5.2
201909,全国城镇25—59岁劳动力失业率 ,4.6
201909,全国城镇调查失业率 ,5.2
201910,全国城镇25—59岁劳动力失业率 ,4.6
201910,全国城镇调查失业率 ,5.1
201911,全国城镇25—59岁劳动力失业率 ,4.6
201911,全国城镇调查失业率 ,5.1
201912,全国城镇25—59岁劳动力失业率 ,4.7
201912,全国城镇调查失业率 ,5.2
202001,全国城镇25—59岁劳动力失业率 ,4.7
202001,全国城镇调查失业率 ,5.3
202002,全国城镇25—59岁劳动力失业率 ,5.6
202002,全国城镇调查失业率 ,6.2
202003,全国城镇25—59岁劳动力失业率 ,5.4
202003,全国城镇调查失业率 ,5.9
202004,全国城镇调查失业率 ,6.0
202004,全国城镇25—59岁劳动力失业率 ,5.5
202005,全国城镇25—59岁劳动力失业率 ,5.4
202005,全国城镇调查失业率 ,5.9
202006,全国城镇25—59岁劳动力失业率 ,5.2
202006,全国城镇调查失业率 ,5.7
202007,全国城镇25—59岁劳动力失业率 ,5.0
202007,全国城镇调查失业率 ,5.7
202008,全国城镇25—59岁劳动力失业率 ,4.8
202008,全国城镇调查失业率 ,5.6
202009,全国城镇调查失业率 ,5.4
202009,全国城镇25—59岁劳动力失业率 ,4.8
202010,全国城镇25—59岁劳动力失业率 ,4.8
202010,全国城镇调查失业率 ,5.3
202011,全国城镇25—59岁劳动力失业率 ,4.7
202011,全国城镇调查失业率 ,5.2
202012,全国城镇调查失业率 ,5.2
202012,全国城镇25—59岁劳动力失业率 ,4.7
202101,全国城镇调查失业率 ,5.4
202101,全国城镇本地户籍劳动力失业率 ,5.6
202101,全国城镇外来户籍劳动力失业率 ,5.1
202101,全国城镇25—59岁劳动力失业率 ,4.9
202102,全国城镇25—59岁劳动力失业率 ,5.0
202102,全国城镇外来户籍劳动力失业率 ,5.2
202102,全国城镇本地户籍劳动力失业率 ,5.7
202102,全国城镇调查失业率 ,5.5
202103,全国城镇25—59岁劳动力失业率 ,4.8
202103,全国城镇外来户籍劳动力失业率 ,5.4
202103,全国城镇本地户籍劳动力失业率 ,5.3
202103,全国城镇调查失业率 ,5.3
202104,全国城镇25—59岁劳动力失业率 ,4.6
202104,全国城镇外来户籍劳动力失业率 ,5.1
202104,全国城镇本地户籍劳动力失业率 ,5.1
202104,全国城镇调查失业率 ,5.1
202105,全国城镇本地户籍劳动力失业率 ,5.1
202105,全国城镇调查失业率 ,5.0
202105,全国城镇25—59岁劳动力失业率 ,4.4
202105,全国城镇外来户籍劳动力失业率 ,5.0
202106,全国城镇25—59岁劳动力失业率 ,4.2
202106,全国城镇外来户籍劳动力失业率 ,5.1
202106,全国城镇本地户籍劳动力失业率 ,5.0
202106,全国城镇调查失业率 ,5.0
202107,全国城镇25—59岁劳动力失业率 ,4.2
202107,全国城镇外来户籍劳动力失业率 ,5.0
202107,全国城镇本地户籍劳动力失业率 ,5.1
202107,全国城镇调查失业率 ,5.1
202108,全国城镇调查失业率 ,5.1
202108,全国城镇25—59岁劳动力失业率 ,4.3
202108,全国城镇外来户籍劳动力失业率 ,5.0
202108,全国城镇本地户籍劳动力失业率 ,5.2
202109,全国城镇25—59岁劳动力失业率 ,4.2
202109,全国城镇外来户籍劳动力失业率 ,4.8
202109,全国城镇本地户籍劳动力失业率 ,5.0
