date,value
2018-01-01,4.7
2018-02-01,4.75
2018-03-01,4.85
2018-04-01,4.65
2018-05-01,4.6
2018-06-01,4.6
2018-07-01,4.75
2018-08-01,4.65
2018-09-01,4.6
2018-10-01,4.65
2018-11-01,4.6
2018-12-01,4.65
2019-01-01,4.85
2019-02-01,5.1
2019-03-01,5.0
2019-04-01,4.85
2019-05-01,4.75
2019-06-01,4.85
2019-07-01,4.949999999999999
2019-08-01,4.85
2019-09-01,4.9
2019-10-01,4.85
2019-11-01,4.85
2019-12-01,4.95
2020-01-01,5.0
2020-02-01,5.9
2020-03-01,5.65
2020-04-01,5.75
2020-05-01,5.65
2020-06-01,5.45
2020-07-01,5.35
2020-08-01,5.199999999999999
2020-09-01,5.1
2020-10-01,5.05
2020-11-01,4.95
2020-12-01,4.95
2021-01-01,5.25
2021-02-01,5.35
2021-03-01,5.2
2021-04-01,4.975
2021-05-01,4.875
2021-06-01,4.825
2021-07-01,4.85
2021-08-01,4.9
2021-09-01,4.725
2021-10-01,4.7
2021-11-01,4.8
2021-12-01,4.875
2022-01-01,5.1
2022-02-01,5.35
2022-03-01,5.725
2022-04-01,6.0
2022-05-01,5.775
2022-06-01,5.275
2022-07-01,5.125
2022-08-01,5.05
2022-09-01,5.3
2022-10-01,5.325
2022-11-01,5.6
2022-12-01,5.35
2023-01-01,5.3
2023-02-01,5.425
2023-03-01,5.074999999999999
2023-04-01,4.975
2023-05-01,4.95
2023-06-01,4.925
2023-07-01,5.266666666666667
2023-08-01,5.1000000000000005
2023-09-01,5.0
2023-10-01,4.966666666666667
2023-11-01,4.933333333333334
2023-12-01,5.0
2024-01-01,5.1000000000000005
2024-02-01,5.2
2024-03-01,5.2
2024-04-01,5.0
2024-05-01,4.933333333333334
2024-06-01,4.933333333333334
2024-07-01,5.166666666666667
2024-08-01,5.2
2024-09-01,5.033333333333333
2024-10-01,4.966666666666666
2024-11-01,4.933333333333334
2024-12-01,5.0
2025-01-01,5.1000000000000005
2025-02-01,5.333333333333333
2025-03-01,5.133333333333334
2025-04-01,5.033333333333333
2025-05-01,5.0
2025-06-01,4.966666666666666
2025-07-01,5.2
2025-08-01,5.233333333333333
2025-09-01,5.133333333333334
2025-10-01,5.033333333333333
2025-11-01,5.033333333333333
2025-12-01,5.033333333333333
2026-01-01,5.1000000000000005
2026-02-01,5.233333333333333
2026-03-01,5.366666666666667
2026-04-01,5.166666666666667
