No.,exprs,scores,qlib_exprs
0,"((Inv((((ts_mean((10.0/open),30)-0.5)*30.0)-30.0))**-2.0)+10.0)",0.0607418976724147,"(Power((1 / (((Mean((10.0 / $open), 30) - 0.5) * 30.0) - 30.0)), -2.0) + 10.0)"
1,"ts_std(((((S_log1p(ts_wma((ts_mean((10.0/high),40)+0.5),30))-1.0)*-0.5)*0.5)**5.0),20)",0.05216034501791,"Std(Power(((((Sign(WMA((Mean((10.0 / $high), 40) + 0.5), 30)) * Log(1 + Abs(WMA((Mean((10.0 / $high), 40) + 0.5), 30)))) - 1.0) * -0.5) * 0.5), 5.0), 20)"
46,S_log1p((((Inv(open)*2.0)**(30.0/(open+-0.01)))**1.0)),0.0485751554369926,"(Sign(Power(Power(((1 / $open) * 2.0), (30.0 / ($open + -0.01))), 1.0)) * Log(1 + Abs(Power(Power(((1 / $open) * 2.0), (30.0 / ($open + -0.01))), 1.0))))"
2,"ts_corr((30.0+high),((-0.01+Inv(volume))-30.0),20)",0.04779864102602,"Corr((30.0 + $high), ((-0.01 + (1 / $volume)) - 30.0), 20)"
3,"S_log1p((Inv(Ref(S_log1p(S_log1p(((S_log1p((-1.0+((close-30.0)+30.0)))*0.01)-0.01))),10))*-5.0))",0.0453350618481636,"(Sign(((1 / Ref((Sign((Sign((((Sign((-1.0 + (($close - 30.0) + 30.0))) * Log(1 + Abs((-1.0 + (($close - 30.0) + 30.0))))) * 0.01) - 0.01)) * Log(1 + Abs((((Sign((-1.0 + (($close - 30.0) + 30.0))) * Log(1 + Abs((-1.0 + (($close - 30.0) + 30.0))))) * 0.01) - 0.01))))) * Log(1 + Abs((Sign((((Sign((-1.0 + (($close - 30.0) + 30.0))) * Log(1 + Abs((-1.0 + (($close - 30.0) + 30.0))))) * 0.01) - 0.01)) * Log(1 + Abs((((Sign((-1.0 + (($close - 30.0) + 30.0))) * Log(1 + Abs((-1.0 + (($close - 30.0) + 30.0))))) * 0.01) - 0.01))))))), 10)) * -5.0)) * Log(1 + Abs(((1 / Ref((Sign((Sign((((Sign((-1.0 + (($close - 30.0) + 30.0))) * Log(1 + Abs((-1.0 + (($close - 30.0) + 30.0))))) * 0.01) - 0.01)) * Log(1 + Abs((((Sign((-1.0 + (($close - 30.0) + 30.0))) * Log(1 + Abs((-1.0 + (($close - 30.0) + 30.0))))) * 0.01) - 0.01))))) * Log(1 + Abs((Sign((((Sign((-1.0 + (($close - 30.0) + 30.0))) * Log(1 + Abs((-1.0 + (($close - 30.0) + 30.0))))) * 0.01) - 0.01)) * Log(1 + Abs((((Sign((-1.0 + (($close - 30.0) + 30.0))) * Log(1 + Abs((-1.0 + (($close - 30.0) + 30.0))))) * 0.01) - 0.01))))))), 10)) * -5.0))))"
47,"(Ref((((5.0-(S_log1p(open)**-10.0))+0.01)-ts_mean((ts_pctchange(close,50)+30.0),10)),40)+10.0)",0.0441462844610214,"(Ref((((5.0 - Power((Sign($open) * Log(1 + Abs($open))), -10.0)) + 0.01) - Mean(((($close / Ref($close, 50)) - 1) + 30.0), 10)), 40) + 10.0)"
4,S_log1p(((S_log1p((5.0-low))/(5.0*open))/30.0)),0.043972909450531,(Sign((((Sign((5.0 - $low)) * Log(1 + Abs((5.0 - $low)))) / (5.0 * $open)) / 30.0)) * Log(1 + Abs((((Sign((5.0 - $low)) * Log(1 + Abs((5.0 - $low)))) / (5.0 * $open)) / 30.0))))
5,"S_log1p((S_log1p(Inv(S_log1p(S_log1p(S_log1p((S_log1p(S_log1p(ts_max((S_log1p((2.0-open))--0.01),5)))*2.0))))))/30.0))",0.0402573682367801,"(Sign(((Sign((1 / (Sign((Sign((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0))))) * Log(1 + Abs((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)))))))) * Log(1 + Abs((Sign((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0))))) * Log(1 + Abs((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)))))))))))) * Log(1 + Abs((1 / (Sign((Sign((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0))))) * Log(1 + Abs((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)))))))) * Log(1 + Abs((Sign((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0))))) * Log(1 + Abs((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)))))))))))))) / 30.0)) * Log(1 + Abs(((Sign((1 / (Sign((Sign((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0))))) * Log(1 + Abs((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)))))))) * Log(1 + Abs((Sign((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0))))) * Log(1 + Abs((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)))))))))))) * Log(1 + Abs((1 / (Sign((Sign((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0))))) * Log(1 + Abs((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)))))))) * Log(1 + Abs((Sign((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0))))) * Log(1 + Abs((Sign(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)) * Log(1 + Abs(((Sign((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))) * Log(1 + Abs((Sign(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5)) * Log(1 + Abs(Max(((Sign((2.0 - $open)) * Log(1 + Abs((2.0 - $open)))) - -0.01), 5))))))) * 2.0)))))))))))))) / 30.0))))"
6,"ts_mad((Inv((((ts_var(Inv((-30.0*high)),30)+0.5)*2.0)--0.01))-S_log1p(ts_mean(volume,50))),40)",0.0392222180962562,"Mad(((1 / (((Var((1 / (-30.0 * $high)), 30) + 0.5) * 2.0) - -0.01)) - (Sign(Mean($volume, 50)) * Log(1 + Abs(Mean($volume, 50))))), 40)"
7,"ts_corr(high,(0.01+volume),10)",0.0389323271811008,"Corr($high, (0.01 + $volume), 10)"
